,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,,2012-09-16T00:10:07.886600Z
1, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T00:24:39.574600Z,
2, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T00:38:58.326600Z,
3, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T03:06:19.078600Z,
4, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T04:17:16.302600Z,
5, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T06:57:25.270600Z,
6, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T09:01:15.542600Z,
7, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T10:02:37.158600Z,
8, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T10:49:27.438600Z,
9, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T11:28:49.166600Z,
10, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T11:34:35.542600Z,
11, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T11:49:03.790600Z,
12, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T11:56:13.142600Z,
13, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T12:22:03.662600Z,
14, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T12:55:14.382600Z,
15, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T13:47:37.830600Z,
16, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T14:45:50.910600Z,
17, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T15:04:12.854600Z,
18, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T15:28:12.502600Z,
19, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T17:03:00.750600Z,
20, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T18:43:55.222600Z,
21, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T19:19:52.614600Z,
22, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T21:10:59.478600Z,
23, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T21:15:07.838600Z,
24, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T21:17:10.614600Z,
25, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T21:59:10.758600Z,
26, , ,7D, ,FS15B,,40.492599,-124.512604,-52.0, ,125.0,2012-09-16T00:00:00.006600Z, , , , , ,2012-09-16T23:45:43.614600Z,
