,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T00:27:37.826100Z
1, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T01:38:11.066100Z
2, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T02:35:22.086100Z
3, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T05:06:36.766100Z
4, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T06:21:24.846100Z
5, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T06:22:28.086100Z
6, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T06:22:43.966100Z
7, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T06:23:15.986100Z
8, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T06:23:43.166100Z
9, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T06:25:11.466100Z
10, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T08:39:28.826100Z
11, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T13:30:30.266100Z
12, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T15:18:03.166100Z
13, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T15:54:08.046100Z
14, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T17:51:22.586100Z
15, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T18:44:59.406100Z
16, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T20:31:59.046100Z
17, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T20:32:17.006100Z
18, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T20:39:13.286100Z
19, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T21:42:44.546100Z
20, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,,2012-04-17T22:09:48.186100Z
21, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,2012-04-17T00:27:38.106100Z,
22, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,2012-04-17T01:38:11.306100Z,
23, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,2012-04-17T02:24:28.606100Z,
24, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,2012-04-17T02:53:55.426100Z,
25, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,2012-04-17T06:21:25.466100Z,
26, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,2012-04-17T06:22:28.806100Z,
27, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,2012-04-17T06:22:44.526100Z,
28, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,2012-04-17T06:23:16.066100Z,
29, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2012-04-17T00:00:00.006100Z, , , , , ,2012-04-17T06:23:43.626100Z,
