,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2012-06-30T00:00:00.000000Z, , , , , ,,2012-06-30T00:46:37.250000Z
1, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2012-06-30T00:00:00.000000Z, , , , , ,,2012-06-30T01:55:05.550000Z
2, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2012-06-30T00:00:00.000000Z, , , , , ,,2012-06-30T03:45:29.300000Z
3, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2012-06-30T00:00:00.000000Z, , , , , ,,2012-06-30T04:01:51.550000Z
4, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2012-06-30T00:00:00.000000Z, , , , , ,,2012-06-30T04:58:36.225000Z
5, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2012-06-30T00:00:00.000000Z, , , , , ,,2012-06-30T06:00:35.450000Z
6, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2012-06-30T00:00:00.000000Z, , , , , ,,2012-06-30T08:25:29.150000Z
7, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2012-06-30T00:00:00.000000Z, , , , , ,,2012-06-30T09:08:15.150000Z
8, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2012-06-30T00:00:00.000000Z, , , , , ,,2012-06-30T10:39:08.275000Z
9, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2012-06-30T00:00:00.000000Z, , , , , ,,2012-06-30T11:27:39.625000Z
10, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2012-06-30T00:00:00.000000Z, , , , , ,,2012-06-30T12:19:33.125000Z
11, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2012-06-30T00:00:00.000000Z, , , , , ,,2012-06-30T15:07:02.625000Z
12, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2012-06-30T00:00:00.000000Z, , , , , ,,2012-06-30T16:43:35.900000Z
13, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2012-06-30T00:00:00.000000Z, , , , , ,,2012-06-30T18:37:04.825000Z
14, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2012-06-30T00:00:00.000000Z, , , , , ,,2012-06-30T20:03:48.075000Z
15, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2012-06-30T00:00:00.000000Z, , , , , ,,2012-06-30T20:10:57.625000Z
16, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2012-06-30T00:00:00.000000Z, , , , , ,,2012-06-30T22:56:12.025000Z
17, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2012-06-30T00:00:00.000000Z, , , , , ,,2012-06-30T23:25:54.775000Z
18, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2012-06-30T00:00:00.000000Z, , , , , ,2012-06-30T01:27:48.025000Z,
