,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,,2012-09-19T00:32:50.183376Z
1, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T00:41:18.523376Z,
2, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T00:53:02.123376Z,
3, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T02:35:23.103376Z,
4, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T02:35:35.243376Z,
5, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T02:45:05.063376Z,
6, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T03:08:22.023376Z,
7, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T03:21:46.223376Z,
8, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T03:23:25.923376Z,
9, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T03:26:23.963376Z,
10, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T04:33:47.123376Z,
11, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T04:57:24.363376Z,
12, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T05:19:12.003376Z,
13, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T05:29:42.263376Z,
14, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T05:30:12.203376Z,
15, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T05:30:48.983376Z,
16, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T05:32:23.783376Z,
17, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T05:59:47.723376Z,
18, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T06:07:54.023376Z,
19, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T06:16:04.123376Z,
20, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T06:19:48.063376Z,
21, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T06:25:38.523376Z,
22, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T06:41:56.863376Z,
23, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T07:17:26.123376Z,
24, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T07:22:41.503376Z,
25, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T07:29:05.023376Z,
26, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T08:23:25.703376Z,
27, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T08:27:53.343376Z,
28, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T08:31:04.563376Z,
29, , ,7D, ,G27B,,41.916599,-126.016701,-3480.0, ,50.0,2012-09-19T00:00:00.003376Z, , , , , ,2012-09-19T08:32:43.563376Z,
