,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-12-05T00:00:00.016598Z, , , , , ,,2012-12-05T00:13:55.616598Z
1, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-12-05T00:00:00.016598Z, , , , , ,,2012-12-05T00:56:12.316598Z
2, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-12-05T00:00:00.016598Z, , , , , ,,2012-12-05T01:01:58.796598Z
3, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-12-05T00:00:00.016598Z, , , , , ,,2012-12-05T01:23:49.856598Z
4, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-12-05T00:00:00.016598Z, , , , , ,,2012-12-05T01:57:17.716598Z
5, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-12-05T00:00:00.016598Z, , , , , ,,2012-12-05T02:02:43.716598Z
6, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-12-05T00:00:00.016598Z, , , , , ,,2012-12-05T02:14:05.496598Z
7, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-12-05T00:00:00.016598Z, , , , , ,,2012-12-05T02:29:03.196598Z
8, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-12-05T00:00:00.016598Z, , , , , ,,2012-12-05T02:49:18.216598Z
9, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-12-05T00:00:00.016598Z, , , , , ,,2012-12-05T02:51:22.756598Z
