,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,,2012-05-21T06:31:38.450000Z
1, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,,2012-05-21T08:23:42.100000Z
2, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,,2012-05-21T10:47:26.475000Z
3, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,,2012-05-21T12:24:40.025000Z
4, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,,2012-05-21T12:54:09.225000Z
5, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,,2012-05-21T14:13:45.250000Z
6, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,,2012-05-21T15:41:00.400000Z
7, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,,2012-05-21T16:50:18.050000Z
8, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,,2012-05-21T18:27:26.425000Z
9, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,,2012-05-21T20:34:33.050000Z
10, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,,2012-05-21T22:21:01.850000Z
11, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,,2012-05-21T23:06:09.225000Z
12, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,,2012-05-21T23:24:26.925000Z
13, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,2012-05-21T03:12:50.100000Z,
14, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,2012-05-21T04:42:52.225000Z,
15, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,2012-05-21T07:10:56.075000Z,
16, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,2012-05-21T07:56:39.000000Z,
17, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,2012-05-21T08:08:53.625000Z,
18, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,2012-05-21T12:24:48.000000Z,
19, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,2012-05-21T14:34:17.375000Z,
20, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,2012-05-21T18:27:38.575000Z,
21, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,2012-05-21T18:44:47.425000Z,
22, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,2012-05-21T22:21:04.525000Z,
23, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,2012-05-21T22:57:28.000000Z,
24, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-05-21T00:00:00.000000Z, , , , , ,2012-05-21T23:26:14.600000Z,
