,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:00:46.156300Z
1, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:01:05.564300Z
2, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:01:08.524300Z
3, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:02:29.484300Z
4, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:02:35.684300Z
5, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:03:32.244300Z
6, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:04:24.244300Z
7, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:05:12.652300Z
8, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:05:24.556300Z
9, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:06:01.516300Z
10, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:06:10.636300Z
11, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:07:18.060300Z
12, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:07:59.956300Z
13, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:08:19.244300Z
14, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:08:25.692300Z
15, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:09:06.812300Z
16, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:09:43.212300Z
17, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:10:38.916300Z
18, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:11:07.364300Z
19, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:11:17.820300Z
20, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:11:43.172300Z
21, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:11:57.164300Z
22, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:12:31.660300Z
23, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:13:22.396300Z
24, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:13:33.956300Z
25, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:14:12.236300Z
26, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:14:16.004300Z
27, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:15:20.724300Z
28, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:16:35.228300Z
29, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:16:55.876300Z
30, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:17:05.668300Z
31, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:17:45.548300Z
32, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:18:46.084300Z
33, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:19:03.100300Z
34, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:19:19.140300Z
35, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:19:51.220300Z
36, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:20:04.852300Z
37, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:20:40.084300Z
38, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:20:48.916300Z
39, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:21:35.948300Z
40, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:22:07.548300Z
41, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:22:26.484300Z
42, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:22:37.068300Z
43, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:23:03.748300Z
44, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:23:08.164300Z
45, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:23:43.948300Z
46, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:23:55.140300Z
47, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:24:35.020300Z
48, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:25:01.692300Z
49, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:25:16.140300Z
50, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:27:04.468300Z
51, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:30:37.204300Z
52, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:31:15.452300Z
53, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:33:24.596300Z
54, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:34:19.860300Z
55, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:36:04.084300Z
56, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:36:53.436300Z
57, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:38:21.532300Z
58, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:38:55.964300Z
59, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:39:54.308300Z
60, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:44:11.572300Z
61, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:44:42.924300Z
62, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:45:03.588300Z
63, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:46:20.076300Z
64, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:47:27.780300Z
65, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:47:32.644300Z
66, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:52:09.572300Z
67, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:53:57.444300Z
68, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:54:48.732300Z
69, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:55:28.172300Z
70, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:55:58.156300Z
71, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:57:02.476300Z
72, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:57:21.252300Z
73, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:57:33.644300Z
74, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:58:30.372300Z
75, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:59:02.812300Z
76, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:59:36.316300Z
77, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T00:59:47.084300Z
78, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-12-02T00:00:00.004300Z, , , , , ,,2012-12-02T01:01:03.612300Z
