,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,,2012-06-09T03:50:49.098000Z
1, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T02:12:22.362000Z,
2, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T03:48:52.002000Z,
3, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T03:52:10.242000Z,
4, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T03:52:39.514000Z,
5, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T03:52:57.306000Z,
6, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T04:27:08.410000Z,
7, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T08:58:24.442000Z,
8, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T09:09:05.858000Z,
9, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T09:11:23.522000Z,
10, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T09:13:02.386000Z,
11, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T18:19:21.658000Z,
12, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T20:58:28.762000Z,
13, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T21:03:28.994000Z,
14, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T21:11:23.834000Z,
15, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T21:58:16.242000Z,
16, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T21:59:39.730000Z,
17, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T22:08:11.514000Z,
18, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T22:16:42.410000Z,
19, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T22:17:45.178000Z,
20, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T22:18:21.994000Z,
21, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T22:20:34.226000Z,
22, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T22:20:47.466000Z,
23, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T22:25:11.762000Z,
24, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T22:27:05.682000Z,
25, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T22:27:59.282000Z,
26, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T22:29:12.018000Z,
27, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T22:29:55.434000Z,
28, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2012-06-09T00:00:00.002000Z, , , , , ,2012-06-09T22:30:26.274000Z,
