,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,,2012-06-14T04:34:03.240000Z
1, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,,2012-06-14T05:09:26.615000Z
2, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,,2012-06-14T07:45:05.090000Z
3, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,,2012-06-14T09:43:30.240000Z
4, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,,2012-06-14T12:06:12.640000Z
5, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,,2012-06-14T12:11:40.890000Z
6, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,,2012-06-14T12:43:30.040000Z
7, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,,2012-06-14T15:18:31.065000Z
8, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,,2012-06-14T19:11:34.440000Z
9, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,,2012-06-14T19:45:24.715000Z
10, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,,2012-06-14T20:04:48.640000Z
11, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,2012-06-14T01:01:03.840000Z,
12, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,2012-06-14T03:19:58.940000Z,
13, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,2012-06-14T04:02:42.265000Z,
14, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,2012-06-14T08:22:34.815000Z,
15, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,2012-06-14T08:34:22.440000Z,
16, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,2012-06-14T09:43:30.565000Z,
17, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,2012-06-14T10:31:57.865000Z,
18, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,2012-06-14T11:15:33.465000Z,
19, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,2012-06-14T12:22:36.790000Z,
20, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,2012-06-14T12:30:43.890000Z,
21, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,2012-06-14T15:09:29.640000Z,
22, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,2012-06-14T17:17:27.190000Z,
23, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,2012-06-14T18:06:22.765000Z,
24, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,2012-06-14T18:45:52.840000Z,
25, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,2012-06-14T18:57:17.540000Z,
26, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-06-14T00:00:00.015000Z, , , , , ,2012-06-14T22:23:59.040000Z,
