,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-12-18T00:00:00.000000Z, , , , , ,,2012-12-18T01:14:36.540000Z
1, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-12-18T00:00:00.000000Z, , , , , ,2012-12-18T07:34:01.530000Z,
2, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-12-18T00:00:00.000000Z, , , , , ,2012-12-18T07:38:44.060000Z,
3, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-12-18T00:00:00.000000Z, , , , , ,2012-12-18T19:03:17.970000Z,
4, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-12-18T00:00:00.000000Z, , , , , ,2012-12-18T19:04:19.840000Z,
5, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-12-18T00:00:00.000000Z, , , , , ,2012-12-18T19:04:52.820000Z,
6, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-12-18T00:00:00.000000Z, , , , , ,2012-12-18T19:05:50.380000Z,
7, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-12-18T00:00:00.000000Z, , , , , ,2012-12-18T19:06:06.850000Z,
8, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-12-18T00:00:00.000000Z, , , , , ,2012-12-18T19:07:45.840000Z,
9, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-12-18T00:00:00.000000Z, , , , , ,2012-12-18T19:09:16.560000Z,
10, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-12-18T00:00:00.000000Z, , , , , ,2012-12-18T19:10:10.130000Z,
11, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2012-12-18T00:00:00.000000Z, , , , , ,2012-12-18T19:13:32.000000Z,
