,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T01:10:05.470000Z
1, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T01:11:01.690000Z
2, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T01:51:48.970000Z
3, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T02:37:46.360000Z
4, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T03:04:56.940000Z
5, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T04:13:08.650000Z
6, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T05:05:57.630000Z
7, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T06:38:25.370000Z
8, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T06:59:16.440000Z
9, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T07:09:22.700000Z
10, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T07:19:19.250000Z
11, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T08:28:10.950000Z
12, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T08:30:41.140000Z
13, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T08:30:51.530000Z
14, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T08:32:39.200000Z
15, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T08:33:32.040000Z
16, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T09:25:06.490000Z
17, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T09:44:58.820000Z
18, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T09:46:53.860000Z
19, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T10:25:43.560000Z
20, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2012-06-22T00:00:00.000000Z, , , , , ,,2012-06-22T10:58:46.660000Z
