,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T00:19:59.390000Z
1, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T00:33:26.570000Z
2, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T00:45:31.880000Z
3, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T02:01:41.990000Z
4, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T02:30:20.870000Z
5, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T03:11:33.570000Z
6, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T03:54:38.180000Z
7, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T03:58:54.650000Z
8, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T04:15:28.980000Z
9, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T04:56:17.780000Z
10, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T05:05:58.270000Z
11, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T05:28:09.170000Z
12, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T06:01:35.310000Z
13, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T07:48:28.910000Z
14, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T08:25:48.000000Z
15, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T08:44:24.930000Z
16, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T08:44:43.910000Z
17, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T08:55:59.040000Z
18, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T08:58:30.790000Z
19, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T08:59:04.850000Z
20, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T09:09:00.130000Z
21, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T10:17:09.540000Z
22, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T10:46:06.520000Z
23, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T12:44:11.990000Z
24, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T14:15:21.510000Z
25, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T16:29:57.000000Z
26, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T16:40:49.370000Z
27, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T21:31:06.050000Z
28, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,,2012-03-26T22:39:58.010000Z
29, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T00:42:28.860000Z,
30, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T02:37:30.170000Z,
31, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T02:50:17.070000Z,
32, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T03:23:25.300000Z,
33, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T03:24:42.110000Z,
34, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T03:53:15.970000Z,
35, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T05:09:04.600000Z,
36, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T07:18:39.590000Z,
37, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T08:25:54.050000Z,
38, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T08:38:10.510000Z,
39, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T08:47:37.290000Z,
40, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T08:49:45.900000Z,
41, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T08:54:28.440000Z,
42, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T08:58:36.700000Z,
43, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T08:59:46.060000Z,
44, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T09:05:42.050000Z,
45, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T09:40:50.290000Z,
46, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T10:05:09.310000Z,
47, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T10:17:19.240000Z,
48, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T10:46:12.450000Z,
49, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-03-26T00:00:00.000000Z, , , , , ,2012-03-26T14:15:29.910000Z,
