,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T01:16:57.070000Z
1, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T01:26:58.980000Z
2, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T01:44:56.260000Z
3, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T02:00:01.050000Z
4, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T03:11:25.770000Z
5, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T09:50:37.000000Z
6, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T10:19:30.960000Z
7, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T10:46:35.210000Z
8, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T10:49:21.820000Z
9, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T16:03:50.430000Z
10, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T16:18:02.740000Z
11, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T16:39:50.300000Z
12, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T17:49:26.790000Z
13, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T18:07:46.890000Z
14, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T18:15:24.470000Z
15, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T19:04:28.490000Z
16, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T19:16:01.280000Z
17, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T19:30:19.760000Z
18, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T20:33:20.250000Z
19, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T21:52:19.920000Z
20, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,,2012-03-19T22:24:49.040000Z
21, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,2012-03-19T09:50:47.910000Z,
22, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,2012-03-19T10:19:42.100000Z,
23, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-03-19T00:00:00.000000Z, , , , , ,2012-03-19T11:40:36.880000Z,
