,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,,2012-10-31T00:44:24.060000Z
1, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T01:05:15.010000Z,
2, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T01:07:47.520000Z,
3, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T01:40:01.150000Z,
4, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T01:40:59.140000Z,
5, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T01:52:57.030000Z,
6, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T02:30:59.650000Z,
7, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T02:38:23.600000Z,
8, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T03:33:39.430000Z,
9, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T03:38:45.490000Z,
10, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T03:46:31.520000Z,
11, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T03:46:52.270000Z,
12, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T04:16:48.190000Z,
13, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T05:06:24.150000Z,
14, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T05:47:20.220000Z,
15, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T05:50:18.240000Z,
16, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T06:41:24.630000Z,
17, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T07:11:40.360000Z,
18, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T07:40:25.430000Z,
19, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T09:07:23.240000Z,
20, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T09:09:12.300000Z,
21, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T09:37:11.940000Z,
22, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T10:25:43.390000Z,
23, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T10:34:44.380000Z,
24, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T10:39:07.920000Z,
25, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T10:57:36.660000Z,
26, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T11:59:46.920000Z,
27, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T12:17:04.510000Z,
28, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T12:23:07.690000Z,
29, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T12:29:21.620000Z,
30, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T12:31:29.790000Z,
31, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T12:35:37.140000Z,
32, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T12:42:09.490000Z,
33, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T13:28:56.970000Z,
34, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T13:44:30.170000Z,
35, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T14:13:32.790000Z,
36, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T14:24:09.810000Z,
37, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T15:28:01.100000Z,
38, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T15:30:32.010000Z,
39, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T15:39:16.120000Z,
40, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T16:21:18.550000Z,
41, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T16:24:06.660000Z,
42, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T16:30:00.270000Z,
43, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T16:50:18.100000Z,
44, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T17:18:35.980000Z,
45, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T17:51:08.670000Z,
46, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T20:45:17.330000Z,
47, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T20:52:27.450000Z,
48, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T21:47:10.140000Z,
49, , ,TA, ,L02E,,42.158001,-123.602898,454.0, ,100.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T21:47:30.780000Z,
