,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-05-13T00:00:00.024900Z, , , , , ,,2012-05-13T00:15:12.849900Z
1, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-05-13T00:00:00.024900Z, , , , , ,2012-05-13T02:12:22.549900Z,
2, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-05-13T00:00:00.024900Z, , , , , ,2012-05-13T02:27:27.474900Z,
3, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-05-13T00:00:00.024900Z, , , , , ,2012-05-13T05:42:51.099900Z,
4, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-05-13T00:00:00.024900Z, , , , , ,2012-05-13T05:56:55.399900Z,
5, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-05-13T00:00:00.024900Z, , , , , ,2012-05-13T06:13:31.724900Z,
6, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-05-13T00:00:00.024900Z, , , , , ,2012-05-13T07:58:12.549900Z,
7, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-05-13T00:00:00.024900Z, , , , , ,2012-05-13T08:21:04.099900Z,
8, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-05-13T00:00:00.024900Z, , , , , ,2012-05-13T10:04:44.274900Z,
9, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-05-13T00:00:00.024900Z, , , , , ,2012-05-13T18:21:07.499900Z,
10, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-05-13T00:00:00.024900Z, , , , , ,2012-05-13T23:13:20.774900Z,
