,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,,2012-12-10T00:39:07.040000Z
1, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,,2012-12-10T04:20:18.065000Z
2, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,,2012-12-10T05:02:28.165000Z
3, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,,2012-12-10T13:35:08.840000Z
4, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,,2012-12-10T14:47:05.690000Z
5, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,,2012-12-10T15:25:15.040000Z
6, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,,2012-12-10T16:46:57.615000Z
7, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,,2012-12-10T17:27:00.940000Z
8, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,,2012-12-10T17:44:04.890000Z
9, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,,2012-12-10T18:24:47.640000Z
10, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,,2012-12-10T18:28:21.640000Z
11, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,,2012-12-10T18:42:53.590000Z
12, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,,2012-12-10T22:18:17.265000Z
13, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,,2012-12-10T22:53:44.840000Z
14, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T00:24:16.215000Z,
15, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T00:51:21.940000Z,
16, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T03:34:56.865000Z,
17, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T04:06:52.290000Z,
18, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T04:20:18.515000Z,
19, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T05:02:35.840000Z,
20, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T07:47:48.090000Z,
21, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T11:13:06.240000Z,
22, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T11:40:48.415000Z,
23, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T13:35:14.865000Z,
24, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T13:56:58.640000Z,
25, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T15:27:56.840000Z,
26, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T16:52:55.640000Z,
27, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T17:28:45.065000Z,
28, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T17:38:40.615000Z,
29, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T18:25:03.065000Z,
30, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T19:01:37.915000Z,
31, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T21:24:32.290000Z,
32, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T21:32:29.540000Z,
33, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T21:37:46.690000Z,
34, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-12-10T00:00:00.015000Z, , , , , ,2012-12-10T23:53:21.265000Z,
