,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,,2012-07-11T02:44:44.550000Z
1, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,,2012-07-11T02:51:19.025000Z
2, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,,2012-07-11T03:12:56.125000Z
3, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,,2012-07-11T05:32:37.775000Z
4, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,,2012-07-11T09:22:33.225000Z
5, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,,2012-07-11T10:04:56.025000Z
6, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,,2012-07-11T14:10:01.725000Z
7, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,,2012-07-11T16:54:44.625000Z
8, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,,2012-07-11T17:33:43.500000Z
9, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,,2012-07-11T18:12:51.750000Z
10, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,,2012-07-11T20:53:17.750000Z
11, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,,2012-07-11T20:59:10.100000Z
12, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,,2012-07-11T21:55:17.050000Z
13, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,,2012-07-11T22:22:27.275000Z
14, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T00:57:23.925000Z,
15, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T02:51:32.050000Z,
16, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T03:12:28.050000Z,
17, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T03:13:06.975000Z,
18, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T03:15:01.050000Z,
19, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T03:21:21.775000Z,
20, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T03:51:16.400000Z,
21, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T03:56:12.625000Z,
22, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T05:25:57.825000Z,
23, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T06:19:47.225000Z,
24, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T07:15:52.125000Z,
25, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T07:19:10.875000Z,
26, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T08:50:44.025000Z,
27, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T11:59:58.025000Z,
28, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T12:57:44.825000Z,
29, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T13:08:13.075000Z,
30, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T14:11:06.800000Z,
31, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T15:02:29.725000Z,
32, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T17:33:45.400000Z,
33, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T19:07:49.650000Z,
34, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T20:28:55.925000Z,
35, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T21:55:23.850000Z,
36, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T22:33:53.400000Z,
37, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T22:50:12.425000Z,
38, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-07-11T00:00:00.000000Z, , , , , ,2012-07-11T23:00:02.725000Z,
