,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,M02A,,48.306999,-125.600403,-139.0, ,50.0,2012-01-02T00:00:00.003300Z, , , , , ,,2012-01-02T04:26:49.163300Z
1, , ,7D, ,M02A,,48.306999,-125.600403,-139.0, ,50.0,2012-01-02T00:00:00.003300Z, , , , , ,,2012-01-02T06:45:01.023300Z
2, , ,7D, ,M02A,,48.306999,-125.600403,-139.0, ,50.0,2012-01-02T00:00:00.003300Z, , , , , ,,2012-01-02T09:36:37.183300Z
3, , ,7D, ,M02A,,48.306999,-125.600403,-139.0, ,50.0,2012-01-02T00:00:00.003300Z, , , , , ,,2012-01-02T09:41:58.643300Z
4, , ,7D, ,M02A,,48.306999,-125.600403,-139.0, ,50.0,2012-01-02T00:00:00.003300Z, , , , , ,,2012-01-02T12:11:17.683300Z
5, , ,7D, ,M02A,,48.306999,-125.600403,-139.0, ,50.0,2012-01-02T00:00:00.003300Z, , , , , ,,2012-01-02T14:55:14.483300Z
6, , ,7D, ,M02A,,48.306999,-125.600403,-139.0, ,50.0,2012-01-02T00:00:00.003300Z, , , , , ,,2012-01-02T19:51:41.823300Z
7, , ,7D, ,M02A,,48.306999,-125.600403,-139.0, ,50.0,2012-01-02T00:00:00.003300Z, , , , , ,,2012-01-02T23:09:39.703300Z
8, , ,7D, ,M02A,,48.306999,-125.600403,-139.0, ,50.0,2012-01-02T00:00:00.003300Z, , , , , ,,2012-01-02T23:16:41.383300Z
9, , ,7D, ,M02A,,48.306999,-125.600403,-139.0, ,50.0,2012-01-02T00:00:00.003300Z, , , , , ,2012-01-02T04:19:37.243300Z,
10, , ,7D, ,M02A,,48.306999,-125.600403,-139.0, ,50.0,2012-01-02T00:00:00.003300Z, , , , , ,2012-01-02T04:23:02.023300Z,
11, , ,7D, ,M02A,,48.306999,-125.600403,-139.0, ,50.0,2012-01-02T00:00:00.003300Z, , , , , ,2012-01-02T04:26:49.283300Z,
12, , ,7D, ,M02A,,48.306999,-125.600403,-139.0, ,50.0,2012-01-02T00:00:00.003300Z, , , , , ,2012-01-02T07:20:06.183300Z,
13, , ,7D, ,M02A,,48.306999,-125.600403,-139.0, ,50.0,2012-01-02T00:00:00.003300Z, , , , , ,2012-01-02T08:09:07.223300Z,
14, , ,7D, ,M02A,,48.306999,-125.600403,-139.0, ,50.0,2012-01-02T00:00:00.003300Z, , , , , ,2012-01-02T12:11:17.743300Z,
15, , ,7D, ,M02A,,48.306999,-125.600403,-139.0, ,50.0,2012-01-02T00:00:00.003300Z, , , , , ,2012-01-02T14:55:24.083300Z,
16, , ,7D, ,M02A,,48.306999,-125.600403,-139.0, ,50.0,2012-01-02T00:00:00.003300Z, , , , , ,2012-01-02T15:04:06.923300Z,
