,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-09-08T00:00:00.010545Z, , , , , ,,2012-09-08T00:01:37.570545Z
1, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-09-08T00:00:00.010545Z, , , , , ,,2012-09-08T00:03:40.290545Z
2, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-09-08T00:00:00.010545Z, , , , , ,,2012-09-08T00:11:11.730545Z
3, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-09-08T00:00:00.010545Z, , , , , ,,2012-09-08T00:14:35.010545Z
4, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-09-08T00:00:00.010545Z, , , , , ,,2012-09-08T00:26:55.250545Z
5, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-09-08T00:00:00.010545Z, , , , , ,,2012-09-08T00:40:47.870545Z
6, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-09-08T00:00:00.010545Z, , , , , ,,2012-09-08T00:49:31.050545Z
7, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-09-08T00:00:00.010545Z, , , , , ,,2012-09-08T00:52:54.830545Z
8, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-09-08T00:00:00.010545Z, , , , , ,,2012-09-08T00:54:36.830545Z
9, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-09-08T00:00:00.010545Z, , , , , ,,2012-09-08T00:57:48.210545Z
10, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-09-08T00:00:00.010545Z, , , , , ,,2012-09-08T01:10:57.950545Z
11, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-09-08T00:00:00.010545Z, , , , , ,,2012-09-08T01:14:33.050545Z
12, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-09-08T00:00:00.010545Z, , , , , ,,2012-09-08T01:22:03.270545Z
13, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-09-08T00:00:00.010545Z, , , , , ,,2012-09-08T01:23:22.610545Z
14, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-09-08T00:00:00.010545Z, , , , , ,,2012-09-08T01:28:36.710545Z
15, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-09-08T00:00:00.010545Z, , , , , ,,2012-09-08T01:33:53.370545Z
16, , ,7D, ,M11B,,42.931999,-125.017097,-1109.0, ,50.0,2012-09-08T00:00:00.010545Z, , , , , ,,2012-09-08T01:39:14.470545Z
