,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T00:01:15.386000Z
1, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T12:43:48.166000Z
2, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T12:52:48.706000Z
3, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T12:56:46.326000Z
4, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T13:03:16.106000Z
5, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T13:03:46.046000Z
6, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T13:19:31.806000Z
7, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T13:21:58.406000Z
8, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T13:28:43.166000Z
9, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T13:34:58.766000Z
10, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T13:41:16.146000Z
11, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T13:50:48.126000Z
12, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T13:51:43.706000Z
13, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T15:20:07.966000Z
14, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T15:22:44.966000Z
15, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T17:30:53.126000Z
16, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T17:40:08.626000Z
17, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T17:50:39.306000Z
18, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T19:16:52.086000Z
19, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T23:16:18.166000Z
20, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T23:19:25.226000Z
21, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T23:21:36.626000Z
22, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T23:23:32.946000Z
23, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T23:26:14.846000Z
24, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T23:38:08.246000Z
25, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,,2012-04-13T23:38:43.146000Z
26, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,2012-04-13T12:58:12.766000Z,
27, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,2012-04-13T13:03:51.066000Z,
28, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,2012-04-13T13:05:07.466000Z,
29, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,2012-04-13T13:16:49.946000Z,
30, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,2012-04-13T13:28:48.146000Z,
31, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,2012-04-13T13:36:17.826000Z,
32, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,2012-04-13T23:16:28.186000Z,
33, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,2012-04-13T23:23:38.046000Z,
34, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2012-04-13T00:00:00.006000Z, , , , , ,2012-04-13T23:38:12.066000Z,
