,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-06-28T00:00:00.000000Z, , , , , ,,2012-06-28T02:56:02.360000Z
1, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-06-28T00:00:00.000000Z, , , , , ,,2012-06-28T03:54:13.330000Z
2, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-06-28T00:00:00.000000Z, , , , , ,,2012-06-28T05:05:24.540000Z
3, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-06-28T00:00:00.000000Z, , , , , ,,2012-06-28T05:08:20.930000Z
4, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-06-28T00:00:00.000000Z, , , , , ,,2012-06-28T06:06:50.740000Z
5, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-06-28T00:00:00.000000Z, , , , , ,,2012-06-28T06:12:07.490000Z
6, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-06-28T00:00:00.000000Z, , , , , ,,2012-06-28T06:22:10.940000Z
7, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-06-28T00:00:00.000000Z, , , , , ,,2012-06-28T10:19:44.240000Z
8, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-06-28T00:00:00.000000Z, , , , , ,,2012-06-28T11:25:47.960000Z
9, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-06-28T00:00:00.000000Z, , , , , ,,2012-06-28T11:41:41.800000Z
10, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-06-28T00:00:00.000000Z, , , , , ,,2012-06-28T13:14:13.000000Z
11, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-06-28T00:00:00.000000Z, , , , , ,,2012-06-28T14:15:14.890000Z
12, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-06-28T00:00:00.000000Z, , , , , ,,2012-06-28T15:04:41.310000Z
13, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-06-28T00:00:00.000000Z, , , , , ,,2012-06-28T15:14:46.030000Z
14, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-06-28T00:00:00.000000Z, , , , , ,,2012-06-28T16:17:17.430000Z
15, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-06-28T00:00:00.000000Z, , , , , ,,2012-06-28T17:37:09.390000Z
16, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-06-28T00:00:00.000000Z, , , , , ,,2012-06-28T17:41:37.330000Z
17, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-06-28T00:00:00.000000Z, , , , , ,,2012-06-28T18:24:50.570000Z
18, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-06-28T00:00:00.000000Z, , , , , ,,2012-06-28T19:56:00.310000Z
