,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,,2012-04-21T00:22:02.350000Z
1, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,,2012-04-21T00:57:01.050000Z
2, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,,2012-04-21T01:13:12.300000Z
3, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,,2012-04-21T03:01:57.875000Z
4, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,,2012-04-21T04:10:18.075000Z
5, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,,2012-04-21T05:01:16.050000Z
6, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,,2012-04-21T05:59:41.850000Z
7, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,,2012-04-21T09:45:43.700000Z
8, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,,2012-04-21T10:14:44.925000Z
9, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,,2012-04-21T13:11:53.900000Z
10, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,,2012-04-21T14:25:39.275000Z
11, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,,2012-04-21T16:30:27.825000Z
12, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,,2012-04-21T16:34:35.950000Z
13, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,,2012-04-21T17:16:25.450000Z
14, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,,2012-04-21T18:37:28.225000Z
15, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,,2012-04-21T20:16:34.200000Z
16, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,,2012-04-21T20:39:09.525000Z
17, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,,2012-04-21T21:21:59.900000Z
18, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,2012-04-21T03:26:19.325000Z,
19, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,2012-04-21T05:32:07.525000Z,
20, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,2012-04-21T09:37:27.650000Z,
21, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,2012-04-21T09:54:29.850000Z,
22, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,2012-04-21T13:08:17.425000Z,
23, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,2012-04-21T13:12:10.425000Z,
24, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,2012-04-21T14:26:05.375000Z,
25, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,2012-04-21T16:52:27.000000Z,
26, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,2012-04-21T19:23:23.450000Z,
27, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-04-21T00:00:00.000000Z, , , , , ,2012-04-21T22:32:27.575000Z,
