,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T00:14:07.342000Z
1, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T00:14:35.222000Z
2, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T00:43:46.982000Z
3, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T00:50:27.282000Z
4, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T01:52:42.622000Z
5, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T02:13:10.722000Z
6, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T02:51:33.682000Z
7, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T03:13:26.402000Z
8, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T03:28:44.442000Z
9, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T03:42:18.022000Z
10, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T05:12:54.282000Z
11, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T05:12:59.102000Z
12, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T05:42:39.982000Z
13, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T05:48:49.982000Z
14, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T06:26:11.982000Z
15, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T06:26:15.662000Z
16, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T06:34:22.902000Z
17, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T06:42:06.442000Z
18, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T07:08:19.102000Z
19, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T07:41:51.422000Z
20, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T07:42:37.862000Z
21, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T08:42:29.302000Z
22, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T08:49:46.422000Z
23, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T09:10:14.602000Z
24, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T09:42:55.802000Z
25, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T10:10:19.562000Z
26, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T10:26:04.462000Z
27, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T10:35:14.022000Z
28, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T10:51:49.442000Z
29, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T11:16:05.942000Z
30, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T11:41:49.782000Z
31, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T11:42:17.842000Z
32, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T12:42:10.042000Z
33, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T13:26:14.262000Z
34, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T13:41:16.382000Z
35, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T13:42:30.682000Z
36, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T14:15:54.422000Z
37, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T15:04:26.142000Z
38, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T15:48:21.542000Z
39, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-08-17T00:00:00.002000Z, , , , , ,,2012-08-17T16:01:27.702000Z
