,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,,2012-10-03T02:14:27.925000Z
1, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,,2012-10-03T07:41:27.300000Z
2, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,,2012-10-03T08:04:09.125000Z
3, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,,2012-10-03T08:17:58.300000Z
4, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,,2012-10-03T08:22:52.525000Z
5, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,,2012-10-03T08:33:15.550000Z
6, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,,2012-10-03T08:43:38.475000Z
7, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,,2012-10-03T14:37:57.225000Z
8, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,,2012-10-03T16:41:23.025000Z
9, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,,2012-10-03T19:10:08.425000Z
10, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,,2012-10-03T22:54:02.300000Z
11, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,2012-10-03T00:26:12.825000Z,
12, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,2012-10-03T01:03:28.950000Z,
13, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,2012-10-03T05:27:40.925000Z,
14, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,2012-10-03T05:28:17.100000Z,
15, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,2012-10-03T06:45:27.725000Z,
16, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,2012-10-03T06:57:05.975000Z,
17, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,2012-10-03T07:27:20.675000Z,
18, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,2012-10-03T07:46:47.325000Z,
19, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,2012-10-03T08:18:59.400000Z,
20, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,2012-10-03T08:20:25.225000Z,
21, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,2012-10-03T08:33:40.375000Z,
22, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,2012-10-03T08:34:41.825000Z,
23, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,2012-10-03T08:40:24.500000Z,
24, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,2012-10-03T09:03:44.150000Z,
25, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,2012-10-03T09:09:26.975000Z,
26, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,2012-10-03T10:41:13.500000Z,
27, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-03T00:00:00.000000Z, , , , , ,2012-10-03T11:34:55.325000Z,
