,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,,2012-03-24T00:05:36.140000Z
1, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,,2012-03-24T03:59:43.330000Z
2, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,,2012-03-24T04:51:09.080000Z
3, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,,2012-03-24T07:05:38.690000Z
4, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,,2012-03-24T09:54:46.570000Z
5, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,,2012-03-24T10:27:31.430000Z
6, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,,2012-03-24T14:20:25.370000Z
7, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,,2012-03-24T14:49:40.610000Z
8, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,,2012-03-24T14:52:16.960000Z
9, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,,2012-03-24T17:19:06.810000Z
10, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,,2012-03-24T18:28:36.170000Z
11, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,,2012-03-24T18:59:12.610000Z
12, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,,2012-03-24T20:33:46.010000Z
13, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,,2012-03-24T21:04:00.330000Z
14, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,,2012-03-24T21:16:41.670000Z
15, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,,2012-03-24T21:38:20.640000Z
16, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,,2012-03-24T23:48:40.050000Z
17, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,2012-03-24T00:13:23.980000Z,
18, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,2012-03-24T04:00:02.250000Z,
19, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,2012-03-24T04:51:31.010000Z,
20, , ,CN, ,PFB,,48.5747,-124.4541,449.0, ,100.0,2012-03-24T00:00:00.000000Z, , , , , ,2012-03-24T05:08:55.640000Z,
