,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,,2012-01-18T00:33:33.100000Z
1, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T00:36:50.225000Z,
2, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T01:28:14.725000Z,
3, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T02:32:14.000000Z,
4, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T03:13:09.900000Z,
5, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T06:08:18.075000Z,
6, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T07:07:39.775000Z,
7, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T07:10:36.800000Z,
8, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T07:17:02.200000Z,
9, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T07:27:18.875000Z,
10, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T07:54:25.325000Z,
11, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T08:32:18.000000Z,
12, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T10:09:35.525000Z,
13, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T11:20:18.475000Z,
14, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T11:55:11.225000Z,
15, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T14:27:29.200000Z,
16, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T15:22:12.825000Z,
17, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T16:11:29.125000Z,
18, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T17:10:53.450000Z,
19, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T17:53:36.800000Z,
20, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T18:59:48.075000Z,
21, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T21:00:24.300000Z,
22, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T21:18:52.175000Z,
23, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T22:07:42.525000Z,
24, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T22:23:52.775000Z,
25, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T22:33:15.825000Z,
26, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T22:41:08.625000Z,
27, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T23:08:25.275000Z,
28, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-01-18T00:00:00.000000Z, , , , , ,2012-01-18T23:12:33.550000Z,
