,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,,2012-09-18T00:40:57.015000Z
1, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,,2012-09-18T05:27:14.215000Z
2, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,,2012-09-18T08:59:03.790000Z
3, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,,2012-09-18T11:15:55.190000Z
4, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,,2012-09-18T14:35:45.240000Z
5, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,,2012-09-18T16:23:03.215000Z
6, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,,2012-09-18T16:35:09.715000Z
7, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,,2012-09-18T17:09:12.190000Z
8, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,,2012-09-18T17:30:52.965000Z
9, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,,2012-09-18T18:04:10.490000Z
10, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,,2012-09-18T18:44:08.240000Z
11, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,,2012-09-18T19:13:21.790000Z
12, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,,2012-09-18T19:39:22.540000Z
13, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,,2012-09-18T20:19:16.615000Z
14, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,,2012-09-18T21:23:12.615000Z
15, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,,2012-09-18T22:56:31.365000Z
16, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,2012-09-18T00:24:57.515000Z,
17, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,2012-09-18T04:08:11.090000Z,
18, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,2012-09-18T05:27:32.990000Z,
19, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,2012-09-18T09:11:10.715000Z,
20, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,2012-09-18T10:04:24.665000Z,
21, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,2012-09-18T10:21:06.740000Z,
22, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,2012-09-18T11:06:57.665000Z,
23, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,2012-09-18T13:10:48.790000Z,
24, , ,UW, ,RADR,,46.42181,-123.79897,591.4, ,40.0,2012-09-18T00:00:00.015000Z, , , , , ,2012-09-18T16:39:39.540000Z,
