,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,,2012-12-03T03:12:37.550000Z
1, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,,2012-12-03T04:49:48.925000Z
2, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,,2012-12-03T11:42:53.100000Z
3, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,,2012-12-03T13:35:35.525000Z
4, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,,2012-12-03T15:23:23.875000Z
5, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,,2012-12-03T15:32:26.500000Z
6, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,,2012-12-03T16:44:21.525000Z
7, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,,2012-12-03T20:50:52.750000Z
8, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,,2012-12-03T23:44:13.700000Z
9, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,,2012-12-03T23:46:08.125000Z
10, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,2012-12-03T00:33:32.200000Z,
11, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,2012-12-03T01:29:32.550000Z,
12, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,2012-12-03T02:51:46.650000Z,
13, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,2012-12-03T03:12:47.400000Z,
14, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,2012-12-03T03:22:24.375000Z,
15, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,2012-12-03T04:26:42.375000Z,
16, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,2012-12-03T04:49:51.100000Z,
17, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,2012-12-03T09:48:32.375000Z,
18, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,2012-12-03T10:13:35.800000Z,
19, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,2012-12-03T10:44:25.300000Z,
20, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,2012-12-03T13:35:51.275000Z,
21, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-12-03T00:00:00.000000Z, , , , , ,2012-12-03T19:41:36.725000Z,
