,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-08-27T00:00:00.000000Z, , , , , ,,2012-08-27T00:05:41.110000Z
1, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T00:05:48.750000Z,
2, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T06:41:11.840000Z,
3, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T06:42:44.210000Z,
4, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T10:57:14.660000Z,
5, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T11:02:53.620000Z,
6, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T12:27:25.830000Z,
7, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T12:39:27.870000Z,
8, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T12:53:10.070000Z,
9, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T12:55:57.870000Z,
10, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T20:12:58.220000Z,
11, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T22:27:12.730000Z,
12, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T22:52:22.010000Z,
13, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-08-27T00:00:00.000000Z, , , , , ,2012-08-27T22:52:38.390000Z,
