,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T00:18:27.546000Z
1, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T02:38:40.086000Z
2, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T03:01:47.366000Z
3, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T03:46:49.986000Z
4, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T05:47:10.506000Z
5, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T14:13:19.706000Z
6, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T14:56:21.446000Z
7, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T14:59:18.906000Z
8, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T15:28:58.186000Z
9, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T15:48:36.026000Z
10, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T15:48:43.866000Z
11, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T16:09:06.446000Z
12, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T16:43:43.626000Z
13, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T17:00:23.146000Z
14, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T17:06:57.926000Z
15, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T17:10:29.966000Z
16, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T17:28:18.426000Z
17, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T17:28:44.466000Z
18, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T17:30:55.166000Z
19, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T17:46:21.586000Z
20, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T17:49:31.506000Z
21, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T17:55:43.086000Z
22, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T18:28:57.606000Z
23, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T18:38:01.606000Z
24, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T19:33:20.726000Z
25, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T20:56:20.066000Z
26, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T21:20:11.846000Z
27, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T21:29:46.706000Z
28, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T21:36:51.506000Z
29, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T21:38:24.026000Z
30, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T21:51:21.866000Z
31, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T21:53:14.826000Z
32, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T22:39:54.946000Z
33, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T22:45:58.926000Z
34, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T22:51:45.446000Z
35, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T22:53:23.046000Z
36, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T22:58:03.006000Z
37, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T23:01:17.906000Z
38, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T23:03:01.946000Z
39, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T23:07:46.626000Z
40, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T23:37:00.906000Z
41, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T23:41:40.126000Z
42, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T23:48:07.646000Z
43, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T23:55:48.766000Z
44, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,,2012-09-12T23:57:40.366000Z
45, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,2012-09-12T00:08:52.026000Z,
46, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-09-12T00:00:00.006000Z, , , , , ,2012-09-12T01:46:33.146000Z,
