,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-02-02T00:00:00.000000Z, , , , , ,,2012-02-02T02:10:54.210000Z
1, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-02-02T00:00:00.000000Z, , , , , ,,2012-02-02T06:26:29.400000Z
2, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-02-02T00:00:00.000000Z, , , , , ,,2012-02-02T10:18:38.490000Z
3, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-02-02T00:00:00.000000Z, , , , , ,,2012-02-02T11:31:38.490000Z
4, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-02-02T00:00:00.000000Z, , , , , ,,2012-02-02T12:46:19.610000Z
5, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-02-02T00:00:00.000000Z, , , , , ,,2012-02-02T18:03:09.050000Z
6, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-02-02T00:00:00.000000Z, , , , , ,,2012-02-02T18:09:00.890000Z
7, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-02-02T00:00:00.000000Z, , , , , ,,2012-02-02T23:56:30.350000Z
8, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-02-02T00:00:00.000000Z, , , , , ,2012-02-02T12:46:19.640000Z,
9, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-02-02T00:00:00.000000Z, , , , , ,2012-02-02T16:32:43.390000Z,
10, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-02-02T00:00:00.000000Z, , , , , ,2012-02-02T17:27:07.890000Z,
11, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-02-02T00:00:00.000000Z, , , , , ,2012-02-02T19:24:10.250000Z,
12, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-02-02T00:00:00.000000Z, , , , , ,2012-02-02T22:03:29.370000Z,
13, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-02-02T00:00:00.000000Z, , , , , ,2012-02-02T23:22:36.970000Z,
14, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-02-02T00:00:00.000000Z, , , , , ,2012-02-02T23:44:13.130000Z,
15, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-02-02T00:00:00.000000Z, , , , , ,2012-02-02T23:47:50.430000Z,
16, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-02-02T00:00:00.000000Z, , , , , ,2012-02-02T23:54:14.150000Z,
17, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-02-02T00:00:00.000000Z, , , , , ,2012-02-02T23:56:39.310000Z,
