,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2012-05-17T00:00:00.015000Z, , , , , ,,2012-05-17T05:14:43.065000Z
1, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2012-05-17T00:00:00.015000Z, , , , , ,2012-05-17T00:59:39.990000Z,
2, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2012-05-17T00:00:00.015000Z, , , , , ,2012-05-17T04:07:53.540000Z,
3, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2012-05-17T00:00:00.015000Z, , , , , ,2012-05-17T06:04:18.490000Z,
4, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2012-05-17T00:00:00.015000Z, , , , , ,2012-05-17T07:38:37.340000Z,
5, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2012-05-17T00:00:00.015000Z, , , , , ,2012-05-17T09:15:39.240000Z,
6, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2012-05-17T00:00:00.015000Z, , , , , ,2012-05-17T10:14:57.640000Z,
7, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2012-05-17T00:00:00.015000Z, , , , , ,2012-05-17T10:52:42.190000Z,
8, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2012-05-17T00:00:00.015000Z, , , , , ,2012-05-17T11:11:54.240000Z,
9, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2012-05-17T00:00:00.015000Z, , , , , ,2012-05-17T17:18:07.715000Z,
10, , ,UW, ,WISH,,47.11698,-123.77118,45.0, ,40.0,2012-05-17T00:00:00.015000Z, , , , , ,2012-05-17T23:32:29.740000Z,
