,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-07-15T00:00:54.000000Z, , , , , ,,2012-07-15T00:05:18.070000Z
1, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-07-15T00:00:54.000000Z, , , , , ,,2012-07-15T00:47:55.150000Z
2, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-07-15T00:00:54.000000Z, , , , , ,,2012-07-15T00:50:17.420000Z
3, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-07-15T00:00:54.000000Z, , , , , ,,2012-07-15T01:33:22.100000Z
4, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-07-15T00:00:54.000000Z, , , , , ,,2012-07-15T02:13:50.770000Z
5, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-07-15T00:00:54.000000Z, , , , , ,,2012-07-15T02:14:39.030000Z
6, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-07-15T00:00:54.000000Z, , , , , ,,2012-07-15T02:17:48.690000Z
7, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-07-15T00:00:54.000000Z, , , , , ,,2012-07-15T02:30:49.020000Z
8, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-07-15T00:00:54.000000Z, , , , , ,,2012-07-15T02:31:20.060000Z
9, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-07-15T00:00:54.000000Z, , , , , ,,2012-07-15T02:32:10.540000Z
10, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-07-15T00:00:54.000000Z, , , , , ,,2012-07-15T02:47:26.520000Z
11, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-07-15T00:00:54.000000Z, , , , , ,,2012-07-15T03:00:38.490000Z
12, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-07-15T00:00:54.000000Z, , , , , ,,2012-07-15T03:52:40.540000Z
13, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-07-15T00:00:54.000000Z, , , , , ,,2012-07-15T06:08:49.840000Z
14, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-07-15T00:00:54.000000Z, , , , , ,,2012-07-15T07:06:20.090000Z
15, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-07-15T00:00:54.000000Z, , , , , ,,2012-07-15T08:55:04.730000Z
