,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,,2011-06-16T00:12:04.315000Z
1, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,,2011-06-16T02:28:16.840000Z
2, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,,2011-06-16T05:58:01.640000Z
3, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,,2011-06-16T06:02:11.990000Z
4, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,,2011-06-16T08:06:32.090000Z
5, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,,2011-06-16T08:41:18.015000Z
6, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,,2011-06-16T09:45:02.165000Z
7, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,,2011-06-16T09:46:40.665000Z
8, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,,2011-06-16T10:39:52.215000Z
9, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,,2011-06-16T10:58:21.465000Z
10, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,,2011-06-16T11:17:12.415000Z
11, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,,2011-06-16T11:21:37.040000Z
12, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,,2011-06-16T14:43:27.390000Z
13, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,,2011-06-16T16:19:32.390000Z
14, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,,2011-06-16T19:13:48.365000Z
15, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,2011-06-16T00:56:21.790000Z,
16, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,2011-06-16T02:16:49.615000Z,
17, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,2011-06-16T05:58:04.790000Z,
18, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,2011-06-16T07:32:59.390000Z,
19, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,2011-06-16T11:21:37.065000Z,
20, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2011-06-16T00:00:00.015000Z, , , , , ,2011-06-16T15:07:29.590000Z,
