,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,,2011-08-13T00:44:05.075000Z
1, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,,2011-08-13T00:53:55.075000Z
2, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,,2011-08-13T00:55:08.625000Z
3, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,,2011-08-13T01:17:22.350000Z
4, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,,2011-08-13T02:12:37.700000Z
5, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,,2011-08-13T02:35:24.225000Z
6, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,,2011-08-13T14:56:59.025000Z
7, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,,2011-08-13T14:59:28.575000Z
8, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,,2011-08-13T16:02:05.325000Z
9, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,,2011-08-13T19:24:18.225000Z
10, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,,2011-08-13T19:37:43.875000Z
11, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,,2011-08-13T21:53:05.850000Z
12, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,,2011-08-13T23:23:46.475000Z
13, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,2011-08-13T00:02:53.275000Z,
14, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,2011-08-13T00:27:00.150000Z,
15, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,2011-08-13T00:44:09.475000Z,
16, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,2011-08-13T00:54:03.575000Z,
17, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,2011-08-13T00:55:10.850000Z,
18, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,2011-08-13T01:09:56.075000Z,
19, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,2011-08-13T01:22:43.275000Z,
20, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,2011-08-13T02:35:28.600000Z,
21, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,2011-08-13T09:53:51.375000Z,
22, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,2011-08-13T12:07:22.575000Z,
23, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,2011-08-13T14:59:40.525000Z,
24, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,2011-08-13T15:38:48.750000Z,
25, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,2011-08-13T15:54:30.300000Z,
26, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,2011-08-13T17:29:56.925000Z,
27, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,2011-08-13T17:37:12.725000Z,
28, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,2011-08-13T17:56:46.750000Z,
29, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,2011-08-13T18:03:33.950000Z,
30, , ,CN, ,BMSB,,48.8356,-125.1355,10.0, ,40.0,2011-08-13T00:00:00.000000Z, , , , , ,2011-08-13T19:24:25.375000Z,
