,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,,2011-03-22T00:58:52.310000Z
1, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,,2011-03-22T01:16:10.530000Z
2, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,,2011-03-22T01:18:51.750000Z
3, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,,2011-03-22T02:44:53.190000Z
4, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,,2011-03-22T02:48:29.770000Z
5, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,,2011-03-22T05:43:42.890000Z
6, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,,2011-03-22T09:56:49.550000Z
7, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,,2011-03-22T14:04:04.310000Z
8, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,,2011-03-22T15:19:49.530000Z
9, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,,2011-03-22T15:50:28.330000Z
10, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,,2011-03-22T17:08:42.450000Z
11, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,,2011-03-22T17:12:56.970000Z
12, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,,2011-03-22T17:13:33.550000Z
13, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,,2011-03-22T17:17:09.970000Z
14, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,,2011-03-22T17:47:53.190000Z
15, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,,2011-03-22T19:46:16.090000Z
16, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,,2011-03-22T19:50:52.500000Z
17, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,,2011-03-22T22:53:46.860000Z
18, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,,2011-03-22T23:11:00.290000Z
19, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,,2011-03-22T23:51:12.900000Z
20, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T00:04:00.250000Z,
21, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T00:43:51.200000Z,
22, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T00:59:15.220000Z,
23, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T01:56:03.130000Z,
24, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T02:53:44.310000Z,
25, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T05:34:07.540000Z,
26, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T09:56:51.800000Z,
27, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T10:50:35.570000Z,
28, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T11:28:18.550000Z,
29, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T12:59:34.490000Z,
30, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T14:04:06.990000Z,
31, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T15:19:49.710000Z,
32, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T15:50:28.430000Z,
33, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T15:50:39.360000Z,
34, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T17:08:53.000000Z,
35, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T17:13:07.410000Z,
36, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T17:13:44.030000Z,
37, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T17:17:09.830000Z,
38, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T17:17:20.480000Z,
39, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T17:31:41.570000Z,
40, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T17:31:52.050000Z,
41, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T17:48:07.930000Z,
42, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T19:27:04.610000Z,
43, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T19:52:38.980000Z,
44, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T22:16:11.590000Z,
45, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T23:05:42.550000Z,
46, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T23:06:10.890000Z,
47, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T23:11:05.340000Z,
48, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2011-03-22T00:00:00.000000Z, , , , , ,2011-03-22T23:28:11.000000Z,
