,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,50.0,2011-07-30T00:00:00.007000Z, , , , , ,,2011-07-30T00:05:17.307000Z
1, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,50.0,2011-07-30T00:00:00.007000Z, , , , , ,,2011-07-30T00:42:22.567000Z
2, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,50.0,2011-07-30T00:00:00.007000Z, , , , , ,,2011-07-30T00:43:25.147000Z
3, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,50.0,2011-07-30T00:00:00.007000Z, , , , , ,,2011-07-30T00:45:18.747000Z
4, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,50.0,2011-07-30T00:00:00.007000Z, , , , , ,,2011-07-30T02:05:45.547000Z
5, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,50.0,2011-07-30T00:00:00.007000Z, , , , , ,,2011-07-30T02:15:01.647000Z
6, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,50.0,2011-07-30T00:00:00.007000Z, , , , , ,,2011-07-30T02:17:32.227000Z
7, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,50.0,2011-07-30T00:00:00.007000Z, , , , , ,,2011-07-30T02:19:45.147000Z
8, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,50.0,2011-07-30T00:00:00.007000Z, , , , , ,,2011-07-30T02:38:37.047000Z
9, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,50.0,2011-07-30T00:00:00.007000Z, , , , , ,,2011-07-30T04:29:39.827000Z
10, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,50.0,2011-07-30T00:00:00.007000Z, , , , , ,,2011-07-30T12:26:21.787000Z
