,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2011-04-22T00:00:00.024998Z, , , , , ,,2011-04-22T03:32:51.174998Z
1, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2011-04-22T00:00:00.024998Z, , , , , ,,2011-04-22T04:11:53.099998Z
2, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2011-04-22T00:00:00.024998Z, , , , , ,,2011-04-22T04:58:47.024998Z
3, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2011-04-22T00:00:00.024998Z, , , , , ,,2011-04-22T05:01:50.824998Z
4, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2011-04-22T00:00:00.024998Z, , , , , ,,2011-04-22T10:22:58.524998Z
5, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2011-04-22T00:00:00.024998Z, , , , , ,,2011-04-22T16:26:14.174998Z
6, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2011-04-22T00:00:00.024998Z, , , , , ,,2011-04-22T21:28:20.874998Z
7, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2011-04-22T00:00:00.024998Z, , , , , ,2011-04-22T01:03:29.649998Z,
8, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2011-04-22T00:00:00.024998Z, , , , , ,2011-04-22T04:28:56.899998Z,
9, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2011-04-22T00:00:00.024998Z, , , , , ,2011-04-22T04:58:47.599998Z,
10, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2011-04-22T00:00:00.024998Z, , , , , ,2011-04-22T05:22:41.849998Z,
11, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2011-04-22T00:00:00.024998Z, , , , , ,2011-04-22T14:19:56.499998Z,
12, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2011-04-22T00:00:00.024998Z, , , , , ,2011-04-22T16:44:02.774998Z,
13, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2011-04-22T00:00:00.024998Z, , , , , ,2011-04-22T16:50:57.574998Z,
14, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2011-04-22T00:00:00.024998Z, , , , , ,2011-04-22T18:43:27.399998Z,
15, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2011-04-22T00:00:00.024998Z, , , , , ,2011-04-22T18:56:01.024998Z,
