,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T00:14:30.825000Z
1, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T02:32:26.225000Z
2, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T03:22:23.650000Z
3, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T05:03:14.475000Z
4, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T05:16:20.550000Z
5, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T06:06:00.375000Z
6, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T07:02:56.175000Z
7, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T09:45:13.375000Z
8, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T10:19:58.300000Z
9, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T10:32:33.825000Z
10, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T11:03:12.875000Z
11, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T11:11:44.450000Z
12, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T12:04:14.650000Z
13, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T12:21:03.475000Z
14, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T12:51:31.700000Z
15, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T13:24:52.350000Z
16, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T15:03:52.175000Z
17, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T15:10:42.275000Z
18, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T15:17:06.625000Z
19, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T15:22:22.900000Z
20, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T16:02:18.625000Z
21, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T16:18:19.950000Z
22, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T16:21:08.025000Z
23, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T17:04:55.525000Z
24, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T17:21:41.075000Z
25, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T18:05:57.050000Z
26, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T18:30:29.550000Z
27, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T19:03:00.475000Z
28, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T22:36:17.025000Z
29, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T22:41:03.900000Z
30, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,,2011-01-07T23:31:55.550000Z
31, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,2011-01-07T00:42:19.600000Z,
32, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,2011-01-07T05:16:20.825000Z,
33, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,2011-01-07T17:54:26.500000Z,
34, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,2011-01-07T20:20:17.950000Z,
35, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,2011-01-07T20:24:43.925000Z,
36, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,2011-01-07T22:36:45.025000Z,
37, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2011-01-07T00:00:00.000000Z, , , , , ,2011-01-07T23:49:48.925000Z,
