,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T00:20:56.877000Z
1, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T00:23:24.157000Z
2, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T00:24:39.901000Z
3, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T00:36:04.237000Z
4, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T00:38:12.789000Z
5, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T00:39:38.493000Z
6, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T00:40:17.541000Z
7, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T00:41:25.309000Z
8, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T00:41:40.445000Z
9, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T00:44:43.221000Z
10, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T00:44:59.533000Z
11, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T00:47:33.157000Z
12, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T00:49:30.677000Z
13, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T00:57:25.621000Z
14, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T00:58:35.909000Z
15, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T01:02:53.613000Z
16, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T01:03:53.997000Z
17, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T01:06:33.525000Z
18, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T01:09:38.893000Z
19, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T01:11:46.125000Z
20, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T02:07:00.877000Z
21, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T02:13:22.869000Z
22, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T02:17:22.941000Z
23, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T02:25:43.757000Z
24, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T02:34:43.701000Z
25, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T02:38:39.245000Z
26, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T02:53:34.965000Z
27, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T02:56:55.197000Z
28, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T02:56:55.949000Z
29, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T02:59:02.029000Z
30, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T03:30:51.661000Z
31, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T03:36:13.901000Z
32, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T03:39:28.205000Z
33, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T03:52:36.517000Z
34, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T06:19:13.805000Z
35, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T07:16:00.477000Z
36, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T07:27:47.709000Z
37, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T08:33:54.189000Z
38, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T09:00:17.997000Z
39, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T09:16:06.989000Z
40, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T09:35:38.253000Z
41, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T09:49:59.541000Z
42, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T10:14:54.949000Z
43, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T10:25:46.077000Z
44, , ,7D, ,FN12A,,46.8885,-125.119202,-650.0, ,125.0,2011-10-12T00:00:00.005000Z, , , , , ,,2011-10-12T10:28:15.165000Z
