,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,,2011-05-21T02:34:44.165000Z
1, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,,2011-05-21T03:03:31.715000Z
2, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,,2011-05-21T04:49:05.965000Z
3, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,,2011-05-21T11:06:30.290000Z
4, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,,2011-05-21T13:09:08.240000Z
5, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,,2011-05-21T14:43:18.565000Z
6, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,,2011-05-21T14:44:05.840000Z
7, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,,2011-05-21T16:09:57.115000Z
8, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,,2011-05-21T17:14:15.615000Z
9, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,,2011-05-21T18:25:14.865000Z
10, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,,2011-05-21T19:53:25.565000Z
11, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,,2011-05-21T23:16:14.865000Z
12, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,2011-05-21T01:01:35.565000Z,
13, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,2011-05-21T02:57:26.865000Z,
14, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,2011-05-21T03:03:42.840000Z,
15, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,2011-05-21T03:55:06.815000Z,
16, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,2011-05-21T10:40:59.315000Z,
17, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,2011-05-21T11:06:45.865000Z,
18, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,2011-05-21T12:28:13.515000Z,
19, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,2011-05-21T13:32:00.065000Z,
20, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,2011-05-21T14:20:58.215000Z,
21, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,2011-05-21T14:43:20.340000Z,
22, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,2011-05-21T14:54:52.265000Z,
23, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,2011-05-21T14:57:00.440000Z,
24, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,2011-05-21T15:15:34.440000Z,
25, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,2011-05-21T15:44:43.365000Z,
26, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,2011-05-21T15:57:18.840000Z,
27, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,2011-05-21T16:21:18.615000Z,
28, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,2011-05-21T19:53:29.765000Z,
29, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2011-05-21T00:00:00.015000Z, , , , , ,2011-05-21T23:16:16.040000Z,
