,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2011-11-27T00:00:00.002900Z, , , , , ,,2011-11-27T00:05:31.962900Z
1, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2011-11-27T00:00:00.002900Z, , , , , ,,2011-11-27T00:12:32.842900Z
2, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2011-11-27T00:00:00.002900Z, , , , , ,,2011-11-27T00:48:10.962900Z
3, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2011-11-27T00:00:00.002900Z, , , , , ,,2011-11-27T03:01:04.162900Z
4, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2011-11-27T00:00:00.002900Z, , , , , ,,2011-11-27T03:44:45.042900Z
5, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2011-11-27T00:00:00.002900Z, , , , , ,,2011-11-27T05:30:29.462900Z
6, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2011-11-27T00:00:00.002900Z, , , , , ,,2011-11-27T06:18:31.282900Z
7, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2011-11-27T00:00:00.002900Z, , , , , ,,2011-11-27T06:28:40.062900Z
8, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2011-11-27T00:00:00.002900Z, , , , , ,,2011-11-27T07:11:12.122900Z
9, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2011-11-27T00:00:00.002900Z, , , , , ,,2011-11-27T07:15:04.142900Z
10, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2011-11-27T00:00:00.002900Z, , , , , ,,2011-11-27T07:15:10.262900Z
11, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2011-11-27T00:00:00.002900Z, , , , , ,,2011-11-27T07:37:51.882900Z
12, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2011-11-27T00:00:00.002900Z, , , , , ,,2011-11-27T08:22:26.262900Z
13, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2011-11-27T00:00:00.002900Z, , , , , ,,2011-11-27T08:46:12.622900Z
14, , ,7D, ,G03A,,40.059101,-126.162498,-4113.0, ,50.0,2011-11-27T00:00:00.002900Z, , , , , ,,2011-11-27T09:15:48.882900Z
