,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T03:44:07.300000Z
1, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T03:58:32.450000Z
2, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T04:24:29.575000Z
3, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T05:31:43.450000Z
4, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T06:08:03.300000Z
5, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T06:09:53.400000Z
6, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T06:15:18.650000Z
7, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T06:22:29.175000Z
8, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T06:44:49.250000Z
9, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T07:10:13.075000Z
10, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T07:12:09.700000Z
11, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T07:27:40.150000Z
12, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T07:51:38.625000Z
13, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T08:27:10.825000Z
14, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T08:45:05.225000Z
15, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T09:11:10.875000Z
16, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T09:34:24.500000Z
17, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T09:37:28.625000Z
18, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T09:55:25.300000Z
19, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T10:00:24.675000Z
20, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T10:30:34.325000Z
21, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T10:42:17.250000Z
22, , ,TA, ,G03D,,45.211498,-123.264099,222.0, ,40.0,2011-09-23T00:00:00.000000Z, , , , , ,,2011-09-23T11:04:34.825000Z
