,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,,2011-06-01T03:02:19.306000Z
1, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,,2011-06-01T07:33:48.286000Z
2, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,,2011-06-01T11:37:10.146000Z
3, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,,2011-06-01T11:37:23.326000Z
4, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,,2011-06-01T16:28:18.966000Z
5, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,,2011-06-01T19:01:33.166000Z
6, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,,2011-06-01T19:01:48.366000Z
7, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,,2011-06-01T19:18:45.586000Z
8, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,,2011-06-01T19:19:01.346000Z
9, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,,2011-06-01T20:05:37.186000Z
10, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,,2011-06-01T20:52:27.746000Z
11, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,,2011-06-01T20:54:17.366000Z
12, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,,2011-06-01T20:57:15.586000Z
13, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,,2011-06-01T21:09:09.266000Z
14, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,,2011-06-01T21:13:24.466000Z
15, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,,2011-06-01T21:16:13.626000Z
16, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,2011-06-01T03:02:20.246000Z,
17, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,2011-06-01T07:33:49.326000Z,
18, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,2011-06-01T11:37:24.626000Z,
19, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,2011-06-01T12:43:04.946000Z,
20, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,2011-06-01T14:46:06.226000Z,
21, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,2011-06-01T14:55:05.566000Z,
22, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,2011-06-01T19:01:49.126000Z,
23, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,2011-06-01T19:19:02.286000Z,
24, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,2011-06-01T20:05:49.486000Z,
25, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,2011-06-01T20:28:51.506000Z,
26, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,2011-06-01T20:32:52.426000Z,
27, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,2011-06-01T20:59:53.766000Z,
28, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,2011-06-01T21:02:09.066000Z,
29, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,2011-06-01T21:05:04.486000Z,
30, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,2011-06-01T21:12:01.886000Z,
31, , ,UW, ,HEBO,,45.213501,-123.755386,875.0, ,50.0,2011-06-01T00:00:00.006000Z, , , , , ,2011-06-01T21:31:47.266000Z,
