,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2011-09-15T00:00:00.000000Z, , , , , ,,2011-09-15T01:08:26.050000Z
1, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2011-09-15T00:00:00.000000Z, , , , , ,,2011-09-15T03:19:00.875000Z
2, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2011-09-15T00:00:00.000000Z, , , , , ,,2011-09-15T03:20:37.925000Z
3, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2011-09-15T00:00:00.000000Z, , , , , ,,2011-09-15T03:26:00.000000Z
4, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2011-09-15T00:00:00.000000Z, , , , , ,,2011-09-15T04:03:31.525000Z
5, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2011-09-15T00:00:00.000000Z, , , , , ,,2011-09-15T04:49:31.050000Z
6, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2011-09-15T00:00:00.000000Z, , , , , ,,2011-09-15T04:51:27.150000Z
7, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2011-09-15T00:00:00.000000Z, , , , , ,,2011-09-15T04:51:35.625000Z
8, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2011-09-15T00:00:00.000000Z, , , , , ,,2011-09-15T10:39:49.275000Z
9, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2011-09-15T00:00:00.000000Z, , , , , ,,2011-09-15T10:59:03.750000Z
10, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2011-09-15T00:00:00.000000Z, , , , , ,,2011-09-15T11:03:35.475000Z
11, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2011-09-15T00:00:00.000000Z, , , , , ,,2011-09-15T12:23:46.100000Z
12, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2011-09-15T00:00:00.000000Z, , , , , ,,2011-09-15T13:11:34.775000Z
13, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2011-09-15T00:00:00.000000Z, , , , , ,,2011-09-15T14:22:26.475000Z
14, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2011-09-15T00:00:00.000000Z, , , , , ,,2011-09-15T15:06:00.400000Z
15, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2011-09-15T00:00:00.000000Z, , , , , ,,2011-09-15T15:12:05.125000Z
16, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2011-09-15T00:00:00.000000Z, , , , , ,,2011-09-15T15:47:46.225000Z
