,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,,2011-11-14T02:40:14.274998Z
1, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,,2011-11-14T02:52:26.374998Z
2, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,,2011-11-14T05:27:05.499998Z
3, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,,2011-11-14T09:16:38.649998Z
4, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,,2011-11-14T15:16:05.174998Z
5, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,,2011-11-14T16:34:53.874998Z
6, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,,2011-11-14T17:10:47.024998Z
7, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,,2011-11-14T17:33:53.349998Z
8, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,,2011-11-14T18:02:52.049998Z
9, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,,2011-11-14T18:04:37.199998Z
10, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,,2011-11-14T19:17:20.474998Z
11, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,,2011-11-14T19:47:29.299998Z
12, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,,2011-11-14T22:28:19.899998Z
13, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,,2011-11-14T23:31:56.774998Z
14, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,2011-11-14T01:07:36.049998Z,
15, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,2011-11-14T02:36:05.949998Z,
16, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,2011-11-14T04:57:33.449998Z,
17, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,2011-11-14T05:00:04.924998Z,
18, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,2011-11-14T05:06:39.774998Z,
19, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,2011-11-14T05:25:17.699998Z,
20, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,2011-11-14T05:45:13.024998Z,
21, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,2011-11-14T09:16:53.649998Z,
22, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,2011-11-14T13:16:04.174998Z,
23, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,2011-11-14T17:33:53.574998Z,
24, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,2011-11-14T19:32:07.399998Z,
25, , ,TA, ,J01D,,43.1614,-123.931396,131.0, ,40.0,2011-11-14T00:00:00.024998Z, , , , , ,2011-11-14T19:47:42.599998Z,
