,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T00:24:18.662000Z
1, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T00:36:39.910000Z
2, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T01:52:15.766000Z
3, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T01:58:41.358000Z
4, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:01:02.126000Z
5, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:05:30.486000Z
6, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:05:39.894000Z
7, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:06:20.350000Z
8, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:08:11.126000Z
9, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:09:35.622000Z
10, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:11:57.062000Z
11, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:12:27.094000Z
12, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:14:46.534000Z
13, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:17:12.230000Z
14, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:21:01.742000Z
15, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:21:32.038000Z
16, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:21:44.270000Z
17, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:22:25.862000Z
18, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:25:29.758000Z
19, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:29:41.678000Z
20, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:31:03.766000Z
21, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:31:44.702000Z
22, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:32:49.774000Z
23, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:33:21.358000Z
24, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:34:11.222000Z
25, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:34:29.326000Z
26, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:37:21.790000Z
27, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:38:45.926000Z
28, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:39:29.894000Z
29, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:40:25.774000Z
30, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:42:20.998000Z
31, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:43:45.030000Z
32, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:45:20.190000Z
33, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:45:45.102000Z
34, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:46:35.910000Z
35, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:47:54.350000Z
36, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:48:10.254000Z
37, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:49:08.590000Z
38, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:49:30.590000Z
39, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:49:45.662000Z
40, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:50:11.262000Z
41, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:51:22.982000Z
42, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:52:54.622000Z
43, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:55:07.662000Z
44, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:55:32.174000Z
45, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:57:12.398000Z
46, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:58:33.534000Z
47, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T02:58:54.726000Z
48, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:00:06.422000Z
49, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:00:39.462000Z
50, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:00:46.982000Z
51, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:01:46.710000Z
52, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:03:59.318000Z
53, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:04:48.382000Z
54, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:05:25.358000Z
55, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:06:18.190000Z
56, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:07:12.254000Z
57, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:07:49.518000Z
58, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:08:04.806000Z
59, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:08:33.646000Z
60, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:08:36.302000Z
61, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:08:48.942000Z
62, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:10:14.310000Z
63, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:10:40.510000Z
64, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:11:14.830000Z
65, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:11:40.942000Z
66, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:12:11.486000Z
67, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:16:12.478000Z
68, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:25:35.254000Z
69, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T03:57:45.990000Z
70, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T04:00:40.054000Z
71, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T04:09:49.126000Z
72, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T04:13:46.590000Z
73, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T04:15:19.230000Z
74, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T04:20:08.686000Z
75, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T04:27:23.750000Z
76, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T04:29:51.030000Z
77, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T04:35:34.558000Z
78, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T04:40:42.206000Z
79, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T04:45:52.662000Z
80, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T04:47:00.894000Z
81, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T04:47:51.902000Z
82, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T04:49:00.214000Z
83, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T04:53:53.230000Z
84, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T04:55:09.094000Z
85, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T04:57:25.766000Z
86, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T04:59:47.846000Z
87, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T05:01:54.438000Z
88, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T05:03:02.414000Z
89, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T05:03:34.478000Z
90, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T05:04:52.238000Z
91, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T05:07:01.046000Z
92, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T05:09:54.614000Z
93, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T05:10:46.174000Z
94, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T05:11:30.918000Z
95, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T05:11:51.974000Z
96, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T05:12:26.742000Z
97, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T05:15:51.966000Z
98, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T05:16:52.470000Z
99, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T05:23:16.830000Z
100, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T05:24:49.494000Z
101, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T05:25:44.046000Z
102, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T05:26:36.590000Z
103, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T05:27:14.310000Z
104, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T05:29:34.006000Z
105, , ,7D, ,J41A,,45.811901,-124.537201,-175.0, ,125.0,2011-10-31T00:00:00.006000Z, , , , , ,,2011-10-31T05:31:06.070000Z
