,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2011-09-19T00:00:00.000000Z, , , , , ,,2011-09-19T01:23:24.800000Z
1, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2011-09-19T00:00:00.000000Z, , , , , ,,2011-09-19T01:59:58.175000Z
2, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2011-09-19T00:00:00.000000Z, , , , , ,,2011-09-19T03:46:50.650000Z
3, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2011-09-19T00:00:00.000000Z, , , , , ,,2011-09-19T18:02:35.125000Z
4, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2011-09-19T00:00:00.000000Z, , , , , ,,2011-09-19T18:54:39.950000Z
5, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2011-09-19T00:00:00.000000Z, , , , , ,,2011-09-19T19:08:51.700000Z
6, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2011-09-19T00:00:00.000000Z, , , , , ,2011-09-19T03:46:50.950000Z,
7, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2011-09-19T00:00:00.000000Z, , , , , ,2011-09-19T06:40:50.050000Z,
8, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2011-09-19T00:00:00.000000Z, , , , , ,2011-09-19T14:33:08.650000Z,
9, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2011-09-19T00:00:00.000000Z, , , , , ,2011-09-19T19:53:57.475000Z,
10, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2011-09-19T00:00:00.000000Z, , , , , ,2011-09-19T20:08:39.225000Z,
11, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2011-09-19T00:00:00.000000Z, , , , , ,2011-09-19T21:33:18.675000Z,
12, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2011-09-19T00:00:00.000000Z, , , , , ,2011-09-19T22:10:58.300000Z,
