,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T00:27:47.020000Z
1, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T02:10:59.550000Z
2, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T02:51:54.570000Z
3, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T05:19:20.410000Z
4, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T05:43:52.950000Z
5, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T08:17:25.610000Z
6, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T09:08:15.120000Z
7, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T09:12:13.540000Z
8, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T09:43:09.760000Z
9, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T10:29:53.450000Z
10, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T11:07:25.420000Z
11, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T12:49:55.970000Z
12, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T13:03:42.740000Z
13, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T13:05:24.730000Z
14, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T13:08:53.860000Z
15, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T15:03:52.730000Z
16, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T15:33:56.430000Z
17, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T16:18:21.240000Z
18, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T16:55:55.190000Z
19, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T17:59:22.340000Z
20, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T20:22:27.390000Z
21, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T20:36:18.180000Z
22, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T21:27:11.370000Z
23, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T21:34:25.820000Z
24, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T22:19:22.190000Z
25, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T23:07:39.100000Z
26, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T23:09:20.980000Z
27, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T23:29:51.700000Z
28, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,,2011-11-21T23:41:51.290000Z
29, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,2011-11-21T10:11:56.650000Z,
30, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,2011-11-21T13:59:29.910000Z,
31, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,2011-11-21T15:12:51.500000Z,
32, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,2011-11-21T19:33:40.450000Z,
33, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,2011-11-21T21:34:30.740000Z,
34, , ,NC, ,KBO,,42.212357,-124.225983,1010.0, ,100.0,2011-11-21T00:00:00.000000Z, , , , , ,2011-11-21T22:39:31.160000Z,
