,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2011-11-22T00:00:00.000000Z, , , , , ,,2011-11-22T00:24:40.170000Z
1, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2011-11-22T00:00:00.000000Z, , , , , ,,2011-11-22T00:28:13.550000Z
2, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2011-11-22T00:00:00.000000Z, , , , , ,,2011-11-22T01:00:23.820000Z
3, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2011-11-22T00:00:00.000000Z, , , , , ,,2011-11-22T01:09:25.950000Z
4, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2011-11-22T00:00:00.000000Z, , , , , ,,2011-11-22T01:15:55.500000Z
5, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2011-11-22T00:00:00.000000Z, , , , , ,,2011-11-22T01:34:31.850000Z
6, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2011-11-22T00:00:00.000000Z, , , , , ,,2011-11-22T01:38:34.180000Z
7, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2011-11-22T00:00:00.000000Z, , , , , ,,2011-11-22T02:38:23.890000Z
8, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2011-11-22T00:00:00.000000Z, , , , , ,,2011-11-22T02:49:19.540000Z
9, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2011-11-22T00:00:00.000000Z, , , , , ,,2011-11-22T03:16:05.410000Z
10, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2011-11-22T00:00:00.000000Z, , , , , ,,2011-11-22T03:39:22.290000Z
11, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2011-11-22T00:00:00.000000Z, , , , , ,,2011-11-22T04:03:06.870000Z
12, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2011-11-22T00:00:00.000000Z, , , , , ,,2011-11-22T04:14:03.130000Z
13, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2011-11-22T00:00:00.000000Z, , , , , ,,2011-11-22T04:15:48.540000Z
14, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2011-11-22T00:00:00.000000Z, , , , , ,,2011-11-22T04:17:35.700000Z
15, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2011-11-22T00:00:00.000000Z, , , , , ,,2011-11-22T04:28:26.520000Z
16, , ,NC, ,KCT,,40.475567,-124.337486,378.0, ,100.0,2011-11-22T00:00:00.000000Z, , , , , ,,2011-11-22T04:36:54.710000Z
