,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KEB,,42.872211,-124.334251,818.0, ,100.0,2011-04-16T00:00:00.003700Z, , , , , ,,2011-04-16T19:41:15.423700Z
1, , ,NC, ,KEB,,42.872211,-124.334251,818.0, ,100.0,2011-04-16T00:00:00.003700Z, , , , , ,,2011-04-16T20:35:35.003700Z
2, , ,NC, ,KEB,,42.872211,-124.334251,818.0, ,100.0,2011-04-16T00:00:00.003700Z, , , , , ,,2011-04-16T21:32:12.443700Z
3, , ,NC, ,KEB,,42.872211,-124.334251,818.0, ,100.0,2011-04-16T00:00:00.003700Z, , , , , ,2011-04-16T02:45:56.973700Z,
4, , ,NC, ,KEB,,42.872211,-124.334251,818.0, ,100.0,2011-04-16T00:00:00.003700Z, , , , , ,2011-04-16T03:28:22.463700Z,
5, , ,NC, ,KEB,,42.872211,-124.334251,818.0, ,100.0,2011-04-16T00:00:00.003700Z, , , , , ,2011-04-16T18:28:08.113700Z,
6, , ,NC, ,KEB,,42.872211,-124.334251,818.0, ,100.0,2011-04-16T00:00:00.003700Z, , , , , ,2011-04-16T19:41:15.593700Z,
7, , ,NC, ,KEB,,42.872211,-124.334251,818.0, ,100.0,2011-04-16T00:00:00.003700Z, , , , , ,2011-04-16T19:43:17.343700Z,
8, , ,NC, ,KEB,,42.872211,-124.334251,818.0, ,100.0,2011-04-16T00:00:00.003700Z, , , , , ,2011-04-16T21:22:38.923700Z,
9, , ,NC, ,KEB,,42.872211,-124.334251,818.0, ,100.0,2011-04-16T00:00:00.003700Z, , , , , ,2011-04-16T21:24:15.223700Z,
10, , ,NC, ,KEB,,42.872211,-124.334251,818.0, ,100.0,2011-04-16T00:00:00.003700Z, , , , , ,2011-04-16T21:27:40.853700Z,
11, , ,NC, ,KEB,,42.872211,-124.334251,818.0, ,100.0,2011-04-16T00:00:00.003700Z, , , , , ,2011-04-16T21:30:42.923700Z,
12, , ,NC, ,KEB,,42.872211,-124.334251,818.0, ,100.0,2011-04-16T00:00:00.003700Z, , , , , ,2011-04-16T21:34:14.373700Z,
13, , ,NC, ,KEB,,42.872211,-124.334251,818.0, ,100.0,2011-04-16T00:00:00.003700Z, , , , , ,2011-04-16T21:34:47.273700Z,
