,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,,2011-06-10T03:12:15.030000Z
1, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,,2011-06-10T03:38:18.850000Z
2, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,,2011-06-10T04:03:54.840000Z
3, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,,2011-06-10T10:36:51.720000Z
4, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,,2011-06-10T12:32:08.540000Z
5, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,,2011-06-10T14:30:13.780000Z
6, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,,2011-06-10T15:03:17.850000Z
7, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,,2011-06-10T15:37:12.810000Z
8, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,,2011-06-10T16:19:39.450000Z
9, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,,2011-06-10T17:28:25.710000Z
10, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,,2011-06-10T17:28:59.070000Z
11, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,,2011-06-10T17:31:23.770000Z
12, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,,2011-06-10T19:33:22.890000Z
13, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,,2011-06-10T20:59:21.910000Z
14, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,,2011-06-10T21:09:41.470000Z
15, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,,2011-06-10T21:59:26.020000Z
16, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,,2011-06-10T22:00:08.150000Z
17, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,,2011-06-10T22:22:03.420000Z
18, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,2011-06-10T04:04:03.860000Z,
19, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,2011-06-10T10:36:59.550000Z,
20, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,2011-06-10T17:29:11.570000Z,
21, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,2011-06-10T19:36:39.930000Z,
22, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,2011-06-10T20:06:01.220000Z,
23, , ,NC, ,KHMB,,40.874748,-123.73259,1501.0, ,100.0,2011-06-10T00:00:00.000000Z, , , , , ,2011-06-10T21:30:41.120000Z,
