,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,,2011-03-28T00:10:22.990000Z
1, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,,2011-03-28T00:51:08.010000Z
2, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,,2011-03-28T03:41:43.530000Z
3, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,,2011-03-28T08:56:53.910000Z
4, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,,2011-03-28T09:06:26.780000Z
5, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,,2011-03-28T09:18:49.720000Z
6, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,,2011-03-28T12:09:20.570000Z
7, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,,2011-03-28T19:36:32.200000Z
8, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,,2011-03-28T21:23:07.060000Z
9, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,,2011-03-28T22:51:22.330000Z
10, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,2011-03-28T00:10:28.160000Z,
11, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,2011-03-28T00:51:13.000000Z,
12, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,2011-03-28T03:41:52.860000Z,
13, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,2011-03-28T05:24:12.050000Z,
14, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,2011-03-28T07:30:43.340000Z,
15, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,2011-03-28T08:56:54.070000Z,
16, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,2011-03-28T09:06:36.960000Z,
17, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,2011-03-28T09:18:56.970000Z,
18, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,2011-03-28T11:42:13.690000Z,
19, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,2011-03-28T12:09:24.630000Z,
20, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,2011-03-28T14:39:17.970000Z,
21, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,2011-03-28T18:36:55.820000Z,
22, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,2011-03-28T21:23:10.560000Z,
23, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,2011-03-28T21:38:59.780000Z,
24, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2011-03-28T00:00:00.000000Z, , , , , ,2011-03-28T22:51:28.270000Z,
