,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T00:06:10.970000Z
1, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T00:43:47.600000Z
2, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T01:01:41.490000Z
3, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T01:02:25.550000Z
4, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T01:30:35.370000Z
5, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T01:31:18.610000Z
6, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T01:32:02.170000Z
7, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T01:32:45.410000Z
8, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T01:57:18.820000Z
9, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T02:32:09.450000Z
10, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T03:07:27.610000Z
11, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T03:30:16.320000Z
12, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T03:58:57.290000Z
13, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T04:08:49.200000Z
14, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T04:34:04.610000Z
15, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T04:35:47.850000Z
16, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T04:47:55.590000Z
17, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T04:53:16.820000Z
18, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T05:11:26.230000Z
19, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T05:16:51.610000Z
20, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T05:35:55.330000Z
21, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T05:41:54.970000Z
22, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T05:54:05.000000Z
23, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T05:55:52.740000Z
24, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T06:09:21.610000Z
25, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T06:10:57.910000Z
26, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T06:13:31.710000Z
27, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T06:29:19.890000Z
28, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T06:43:26.220000Z
29, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T06:44:52.430000Z
30, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T06:59:04.140000Z
31, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T07:10:31.840000Z
32, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T07:26:40.740000Z
33, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T07:36:46.550000Z
34, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T07:40:48.090000Z
35, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T07:52:18.210000Z
36, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T07:54:31.570000Z
37, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T07:56:58.510000Z
38, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T07:57:33.170000Z
39, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T07:58:58.460000Z
40, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T08:01:00.900000Z
41, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T08:42:25.790000Z
42, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T08:58:53.270000Z
43, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T09:03:07.000000Z
44, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2011-12-11T00:00:00.000000Z, , , , , ,,2011-12-11T09:11:22.540000Z
