,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T00:05:00.870000Z
1, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T00:28:47.780000Z
2, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T00:47:12.760000Z
3, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T00:56:09.970000Z
4, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T00:56:52.530000Z
5, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T01:10:56.620000Z
6, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T02:11:16.740000Z
7, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T03:22:31.300000Z
8, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T03:36:17.370000Z
9, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T03:47:26.210000Z
10, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T03:53:49.580000Z
11, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T04:10:24.010000Z
12, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T11:05:53.610000Z
13, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T12:04:00.740000Z
14, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T12:50:21.830000Z
15, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T13:01:42.030000Z
16, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T13:05:47.850000Z
17, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T13:16:00.440000Z
18, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T13:26:32.810000Z
19, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T13:30:23.210000Z
20, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T14:37:11.350000Z
21, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T14:43:02.280000Z
22, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T14:49:38.940000Z
23, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T15:12:37.700000Z
24, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T15:23:51.570000Z
25, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T15:35:55.190000Z
26, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T16:41:09.110000Z
27, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T16:46:28.530000Z
28, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T17:07:16.620000Z
29, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T17:11:41.580000Z
30, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T17:12:24.380000Z
31, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T17:19:45.200000Z
32, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T17:57:55.820000Z
33, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T18:03:52.230000Z
34, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T18:16:12.830000Z
35, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T20:16:46.980000Z
36, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T20:20:14.220000Z
37, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T20:34:16.850000Z
38, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T20:52:06.180000Z
39, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T20:59:21.340000Z
40, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T21:03:31.960000Z
41, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T21:14:35.150000Z
42, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T21:24:34.660000Z
43, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T21:28:54.910000Z
44, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T21:37:40.480000Z
45, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T21:41:21.800000Z
46, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T21:46:54.810000Z
47, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T21:47:07.970000Z
48, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T22:03:07.210000Z
49, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T22:06:06.180000Z
50, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T22:54:13.770000Z
51, , ,NC, ,KRMB,,41.522957,-123.907974,1266.0, ,100.0,2011-09-11T00:00:00.000000Z, , , , , ,,2011-09-11T22:56:32.260000Z
