,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,TA, ,L02D,,42.157799,-123.603104,458.0, ,40.0,2011-04-10T00:00:00.024998Z, , , , , ,,2011-04-10T00:01:57.849998Z
1, , ,TA, ,L02D,,42.157799,-123.603104,458.0, ,40.0,2011-04-10T00:00:00.024998Z, , , , , ,,2011-04-10T05:03:49.124998Z
2, , ,TA, ,L02D,,42.157799,-123.603104,458.0, ,40.0,2011-04-10T00:00:00.024998Z, , , , , ,,2011-04-10T09:14:44.049998Z
3, , ,TA, ,L02D,,42.157799,-123.603104,458.0, ,40.0,2011-04-10T00:00:00.024998Z, , , , , ,,2011-04-10T16:22:31.324998Z
4, , ,TA, ,L02D,,42.157799,-123.603104,458.0, ,40.0,2011-04-10T00:00:00.024998Z, , , , , ,,2011-04-10T17:22:04.824998Z
5, , ,TA, ,L02D,,42.157799,-123.603104,458.0, ,40.0,2011-04-10T00:00:00.024998Z, , , , , ,,2011-04-10T21:21:47.574998Z
6, , ,TA, ,L02D,,42.157799,-123.603104,458.0, ,40.0,2011-04-10T00:00:00.024998Z, , , , , ,,2011-04-10T22:42:02.349998Z
7, , ,TA, ,L02D,,42.157799,-123.603104,458.0, ,40.0,2011-04-10T00:00:00.024998Z, , , , , ,2011-04-10T00:02:03.149998Z,
8, , ,TA, ,L02D,,42.157799,-123.603104,458.0, ,40.0,2011-04-10T00:00:00.024998Z, , , , , ,2011-04-10T04:31:10.799998Z,
9, , ,TA, ,L02D,,42.157799,-123.603104,458.0, ,40.0,2011-04-10T00:00:00.024998Z, , , , , ,2011-04-10T05:03:54.224998Z,
10, , ,TA, ,L02D,,42.157799,-123.603104,458.0, ,40.0,2011-04-10T00:00:00.024998Z, , , , , ,2011-04-10T11:46:27.074998Z,
11, , ,TA, ,L02D,,42.157799,-123.603104,458.0, ,40.0,2011-04-10T00:00:00.024998Z, , , , , ,2011-04-10T12:27:22.649998Z,
12, , ,TA, ,L02D,,42.157799,-123.603104,458.0, ,40.0,2011-04-10T00:00:00.024998Z, , , , , ,2011-04-10T12:44:23.624998Z,
13, , ,TA, ,L02D,,42.157799,-123.603104,458.0, ,40.0,2011-04-10T00:00:00.024998Z, , , , , ,2011-04-10T13:16:51.024998Z,
14, , ,TA, ,L02D,,42.157799,-123.603104,458.0, ,40.0,2011-04-10T00:00:00.024998Z, , , , , ,2011-04-10T13:35:36.999998Z,
15, , ,TA, ,L02D,,42.157799,-123.603104,458.0, ,40.0,2011-04-10T00:00:00.024998Z, , , , , ,2011-04-10T15:48:35.049998Z,
