,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,,2011-03-11T04:56:13.710000Z
1, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,,2011-03-11T15:43:41.260000Z
2, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,,2011-03-11T15:49:12.235000Z
3, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,,2011-03-11T16:04:13.835000Z
4, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,,2011-03-11T16:09:40.485000Z
5, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,,2011-03-11T16:13:41.935000Z
6, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,,2011-03-11T17:49:42.635000Z
7, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,,2011-03-11T17:53:08.035000Z
8, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,,2011-03-11T17:59:44.310000Z
9, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,,2011-03-11T18:05:31.860000Z
10, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,,2011-03-11T19:20:03.185000Z
11, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,,2011-03-11T19:37:56.585000Z
12, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,,2011-03-11T19:41:07.560000Z
13, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,,2011-03-11T22:22:28.660000Z
14, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,,2011-03-11T22:26:51.285000Z
15, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,,2011-03-11T22:30:43.235000Z
16, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,2011-03-11T14:48:35.885000Z,
17, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,2011-03-11T15:32:30.285000Z,
18, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,2011-03-11T16:07:04.235000Z,
19, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,2011-03-11T17:04:35.485000Z,
20, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,2011-03-11T17:33:54.660000Z,
21, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,2011-03-11T19:20:06.760000Z,
22, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2011-03-11T00:00:00.010000Z, , , , , ,2011-03-11T21:26:06.110000Z,
