,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T01:53:02.375000Z
1, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T12:01:14.250000Z
2, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T14:08:22.425000Z
3, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T15:03:26.800000Z
4, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T15:06:00.625000Z
5, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T15:25:30.650000Z
6, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T15:34:49.075000Z
7, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T15:39:04.475000Z
8, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T17:02:35.125000Z
9, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T17:08:29.325000Z
10, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T17:30:25.675000Z
11, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T18:35:45.675000Z
12, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T18:49:54.025000Z
13, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T19:06:57.625000Z
14, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T19:50:05.800000Z
15, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T20:04:16.625000Z
16, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T20:07:08.875000Z
17, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T20:15:00.350000Z
18, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T20:16:19.050000Z
19, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T20:21:00.050000Z
20, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T20:28:58.025000Z
21, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T20:31:54.550000Z
22, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T20:34:21.350000Z
23, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T20:43:22.275000Z
24, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T20:49:08.150000Z
25, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T20:59:02.875000Z
26, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T21:17:29.800000Z
27, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T21:40:20.025000Z
28, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T22:27:09.575000Z
29, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,,2011-12-25T23:04:09.025000Z
30, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T01:53:11.875000Z,
31, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T03:20:42.525000Z,
32, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T07:00:56.700000Z,
33, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T08:03:24.425000Z,
34, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T08:32:16.325000Z,
35, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T09:27:04.800000Z,
36, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T12:01:14.300000Z,
37, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T14:03:34.225000Z,
38, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T14:08:22.675000Z,
39, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T14:10:34.225000Z,
40, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T14:13:34.775000Z,
41, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T14:14:35.175000Z,
42, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T14:23:33.950000Z,
43, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T14:25:45.875000Z,
44, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T14:26:15.075000Z,
45, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T14:27:40.175000Z,
46, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T14:33:48.300000Z,
47, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T14:35:02.825000Z,
48, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T14:38:57.650000Z,
49, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T14:41:34.100000Z,
50, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T14:42:16.425000Z,
51, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T14:44:25.025000Z,
52, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T14:55:47.950000Z,
53, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T15:09:05.975000Z,
54, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T15:10:58.375000Z,
55, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T15:16:36.475000Z,
56, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T15:23:02.550000Z,
57, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T15:25:31.000000Z,
58, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T15:45:29.325000Z,
59, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T15:54:53.425000Z,
60, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T16:08:08.225000Z,
61, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T16:11:24.650000Z,
62, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T16:16:31.775000Z,
63, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T16:21:11.800000Z,
64, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T16:24:20.650000Z,
65, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T16:27:15.475000Z,
66, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T16:35:18.700000Z,
67, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T16:38:12.675000Z,
68, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T16:45:45.025000Z,
69, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T16:56:23.650000Z,
70, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T17:08:49.000000Z,
71, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T17:10:36.100000Z,
72, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T17:12:49.875000Z,
73, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T17:14:22.000000Z,
74, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T17:15:56.600000Z,
75, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T17:19:59.675000Z,
76, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T17:34:27.325000Z,
77, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T17:36:09.300000Z,
78, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T17:39:38.400000Z,
79, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T17:52:03.400000Z,
80, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T18:03:20.675000Z,
81, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T18:10:30.350000Z,
82, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T18:23:43.725000Z,
83, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T18:24:41.950000Z,
84, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T18:45:01.525000Z,
85, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T18:48:27.650000Z,
86, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T18:50:03.925000Z,
87, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2011-12-25T00:00:00.000000Z, , , , , ,2011-12-25T18:51:31.800000Z,
