,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T00:22:56.439000Z
1, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T00:55:44.783000Z
2, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T02:32:22.415000Z
3, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T04:33:18.327000Z
4, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T04:43:38.679000Z
5, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T05:17:25.663000Z
6, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T05:48:44.807000Z
7, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T06:33:02.023000Z
8, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T07:16:55.287000Z
9, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T07:57:10.455000Z
10, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T08:05:18.543000Z
11, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T08:19:34.919000Z
12, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T08:50:56.975000Z
13, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T08:51:48.863000Z
14, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T08:52:36.639000Z
15, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T08:57:16.367000Z
16, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T09:01:17.375000Z
17, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T09:04:35.079000Z
18, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T09:08:42.111000Z
19, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T09:20:20.631000Z
20, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T09:39:05.551000Z
21, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T09:40:48.983000Z
22, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T09:42:14.551000Z
23, , ,7D, ,M03A,,47.888302,-126.103996,-1818.0, ,125.0,2011-10-20T00:00:00.007000Z, , , , , ,,2011-10-20T09:58:12.495000Z
