,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2011-01-07T00:00:00.013000Z, , , , , ,,2011-01-07T18:06:59.673000Z
1, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2011-01-07T00:00:00.013000Z, , , , , ,,2011-01-07T18:12:47.873000Z
2, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2011-01-07T00:00:00.013000Z, , , , , ,,2011-01-07T18:23:20.893000Z
3, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2011-01-07T00:00:00.013000Z, , , , , ,,2011-01-07T18:29:53.913000Z
4, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2011-01-07T00:00:00.013000Z, , , , , ,,2011-01-07T22:36:14.693000Z
5, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2011-01-07T00:00:00.013000Z, , , , , ,2011-01-07T00:23:39.793000Z,
6, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2011-01-07T00:00:00.013000Z, , , , , ,2011-01-07T00:32:29.633000Z,
7, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2011-01-07T00:00:00.013000Z, , , , , ,2011-01-07T17:44:41.073000Z,
8, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2011-01-07T00:00:00.013000Z, , , , , ,2011-01-07T18:01:50.253000Z,
9, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2011-01-07T00:00:00.013000Z, , , , , ,2011-01-07T18:09:55.233000Z,
10, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2011-01-07T00:00:00.013000Z, , , , , ,2011-01-07T18:11:09.393000Z,
11, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2011-01-07T00:00:00.013000Z, , , , , ,2011-01-07T18:19:45.333000Z,
12, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2011-01-07T00:00:00.013000Z, , , , , ,2011-01-07T18:38:29.333000Z,
13, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2011-01-07T00:00:00.013000Z, , , , , ,2011-01-07T18:56:09.413000Z,
14, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2011-01-07T00:00:00.013000Z, , , , , ,2011-01-07T19:05:08.113000Z,
15, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2011-01-07T00:00:00.013000Z, , , , , ,2011-01-07T19:21:07.893000Z,
16, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2011-01-07T00:00:00.013000Z, , , , , ,2011-01-07T19:30:10.773000Z,
17, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2011-01-07T00:00:00.013000Z, , , , , ,2011-01-07T19:55:51.433000Z,
18, , ,UW, ,MEGW,,46.26609,-123.87709,351.0, ,50.0,2011-01-07T00:00:00.013000Z, , , , , ,2011-01-07T22:14:58.513000Z,
