,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,,2011-06-08T00:08:53.590000Z
1, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,,2011-06-08T02:27:20.810000Z
2, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,,2011-06-08T02:34:48.410000Z
3, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,,2011-06-08T10:08:36.090000Z
4, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,,2011-06-08T12:48:31.720000Z
5, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,,2011-06-08T15:58:40.610000Z
6, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,,2011-06-08T16:12:49.750000Z
7, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,,2011-06-08T17:12:24.010000Z
8, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,,2011-06-08T18:40:57.120000Z
9, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,,2011-06-08T19:29:43.010000Z
10, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,,2011-06-08T20:55:33.650000Z
11, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,,2011-06-08T21:11:15.980000Z
12, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,,2011-06-08T21:33:23.810000Z
13, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,,2011-06-08T21:56:09.970000Z
14, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,,2011-06-08T22:11:07.570000Z
15, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,,2011-06-08T22:42:15.580000Z
16, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,,2011-06-08T22:57:36.400000Z
17, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,2011-06-08T00:30:24.900000Z,
18, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,2011-06-08T01:02:13.460000Z,
19, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,2011-06-08T01:45:16.730000Z,
20, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2011-06-08T00:00:00.000000Z, , , , , ,2011-06-08T01:46:25.970000Z,
