,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,,2011-11-21T18:46:18.900000Z
1, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,,2011-11-21T18:53:03.690000Z
2, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,,2011-11-21T18:57:02.900000Z
3, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,,2011-11-21T18:59:33.870000Z
4, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,,2011-11-21T19:00:10.330000Z
5, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,,2011-11-21T19:17:42.960000Z
6, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,,2011-11-21T19:34:06.770000Z
7, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,,2011-11-21T19:44:05.700000Z
8, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,,2011-11-21T20:11:37.780000Z
9, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,,2011-11-21T20:41:06.000000Z
10, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,,2011-11-21T20:46:37.460000Z
11, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,,2011-11-21T20:54:52.680000Z
12, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,,2011-11-21T20:55:58.060000Z
13, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,,2011-11-21T21:45:03.050000Z
14, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,,2011-11-21T21:58:19.790000Z
15, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,,2011-11-21T22:06:44.940000Z
16, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,,2011-11-21T22:43:37.120000Z
17, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,,2011-11-21T23:16:12.670000Z
18, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,,2011-11-21T23:45:37.310000Z
19, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,2011-11-21T18:47:59.100000Z,
20, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,2011-11-21T19:23:33.870000Z,
21, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,2011-11-21T20:06:14.820000Z,
22, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,2011-11-21T20:11:43.470000Z,
23, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,2011-11-21T20:29:47.280000Z,
24, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,2011-11-21T20:57:37.010000Z,
25, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,2011-11-21T21:03:35.210000Z,
26, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,2011-11-21T21:34:16.300000Z,
27, , ,NV, ,NC89,,48.670537,-126.848767,-1258.0, ,100.0,2011-11-21T18:41:44.000000Z, , , , , ,2011-11-21T23:25:51.130000Z,
