,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,,2011-09-01T00:34:15.225000Z
1, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,,2011-09-01T02:43:22.550000Z
2, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,,2011-09-01T03:44:53.025000Z
3, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,,2011-09-01T06:21:03.275000Z
4, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,,2011-09-01T07:12:02.725000Z
5, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,,2011-09-01T07:14:08.900000Z
6, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,,2011-09-01T12:33:38.225000Z
7, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,,2011-09-01T16:40:40.675000Z
8, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,,2011-09-01T19:00:52.550000Z
9, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,,2011-09-01T19:24:27.600000Z
10, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,,2011-09-01T21:37:54.025000Z
11, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,,2011-09-01T23:41:54.650000Z
12, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,2011-09-01T00:34:24.925000Z,
13, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,2011-09-01T02:09:01.825000Z,
14, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,2011-09-01T02:41:14.675000Z,
15, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,2011-09-01T07:12:07.425000Z,
16, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,2011-09-01T07:47:45.325000Z,
17, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,2011-09-01T09:15:08.275000Z,
18, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,2011-09-01T11:03:45.250000Z,
19, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,2011-09-01T15:30:24.825000Z,
20, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,2011-09-01T17:15:04.950000Z,
21, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,2011-09-01T18:07:53.450000Z,
22, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,2011-09-01T19:01:01.300000Z,
23, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,2011-09-01T19:57:37.725000Z,
24, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,2011-09-01T22:08:50.425000Z,
25, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,2011-09-01T23:41:55.075000Z,
26, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2011-09-01T00:00:00.000000Z, , , , , ,2011-09-01T23:53:56.950000Z,
