,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T00:05:09.163000Z
1, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T00:05:25.623000Z
2, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T00:17:24.883000Z
3, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T00:28:17.543000Z
4, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T00:37:07.943000Z
5, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T00:44:39.063000Z
6, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T00:49:48.563000Z
7, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T00:56:56.883000Z
8, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T01:05:39.063000Z
9, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T01:21:01.743000Z
10, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T01:38:35.823000Z
11, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T01:56:43.623000Z
12, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T01:59:56.783000Z
13, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T02:06:06.083000Z
14, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T02:14:40.923000Z
15, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T02:30:22.463000Z
16, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T02:59:45.763000Z
17, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T03:24:05.343000Z
18, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T03:27:10.003000Z
19, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T03:31:52.343000Z
20, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T03:52:19.883000Z
21, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T04:11:10.783000Z
22, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T04:36:25.083000Z
23, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T04:38:59.223000Z
24, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T04:53:13.283000Z
25, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T05:03:13.403000Z
26, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T05:24:19.803000Z
27, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T05:40:57.943000Z
28, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T05:51:16.403000Z
29, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T06:20:46.603000Z
30, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T06:33:17.303000Z
31, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T06:47:05.363000Z
32, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T06:54:16.183000Z
33, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T07:09:31.523000Z
34, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T07:09:35.783000Z
35, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T07:34:31.363000Z
36, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T07:35:21.863000Z
37, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T08:16:03.203000Z
38, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T08:38:08.683000Z
39, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T08:49:38.003000Z
40, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T08:58:28.943000Z
41, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T09:24:14.243000Z
42, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T09:45:03.923000Z
43, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T10:09:18.763000Z
44, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T10:27:46.123000Z
45, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T10:41:15.623000Z
46, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T10:54:56.703000Z
47, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T11:16:35.743000Z
48, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T11:39:56.743000Z
49, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T11:52:22.203000Z
50, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T11:58:04.123000Z
51, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2011-03-19T00:00:00.003000Z, , , , , ,,2011-03-19T12:13:40.303000Z
